GK1,GK1_selected,GK1_price,GK1_score,GK2,GK2_selected,GK2_price,GK2_score,DEF1,DEF1_selected,DEF1_price,DEF1_score,DEF2,DEF2_selected,DEF2_price,DEF2_score,DEF3,DEF3_selected,DEF3_price,DEF3_score,DEF4,DEF4_selected,DEF4_price,DEF4_score,DEF5,DEF5_selected,DEF5_price,DEF5_score,MID1,MID1_selected,MID1_price,MID1_score,MID2,MID2_selected,MID2_price,MID2_score,MID3,MID3_selected,MID3_price,MID3_score,MID4,MID4_selected,MID4_price,MID4_score,MID5,MID5_selected,MID5_price,MID5_score,FWD1,FWD1_selected,FWD1_price,FWD1_score,FWD2,FWD2_selected,FWD2_price,FWD2_score,FWD3,FWD3_selected,FWD3_price,FWD3_score,11_selected_total_scores,15_total_price
Dean Henderson (Crystal Palace),1,4.5,8,Ederson Ederson M. (Man City),0,5.5,6,Joško Gvardiol (Man City),1,6.1,9,Trevoh Chalobah (Crystal Palace),1,4.4,8,Virgil Virgil (Liverpool),1,6.1,7,Rúben Rúben (Man City),0,5.5,7,Lucas Digne (Aston Villa),0,4.6,7,Bryan Mbeumo (Brentford),1,7.6,15,Alex Iwobi (Fulham),1,5.5,11,Cole Palmer (Chelsea),1,10.9,10,Carlos Henrique Casemiro (Man Utd),1,4.8,10,Mohamed M.Salah (Liverpool),0,12.6,10,Chris Wood (Nott'm Forest),1,6.3,13,George Hirst (Ipswich),1,5.4,11,Yoane Wissa (Brentford),1,5.9,10,112,95.7
Dean Henderson (Crystal Palace),1,4.5,8,Ederson Ederson M. (Man City),0,5.5,6,Joško Gvardiol (Man City),1,6.1,9,Trevoh Chalobah (Crystal Palace),1,4.4,8,Virgil Virgil (Liverpool),1,6.1,7,Rúben Rúben (Man City),0,5.5,7,Lucas Digne (Aston Villa),0,4.6,7,Bryan Mbeumo (Brentford),1,7.6,15,Alex Iwobi (Fulham),1,5.5,11,Cole Palmer (Chelsea),1,10.9,10,Carlos Henrique Casemiro (Man Utd),1,4.8,10,Mohamed M.Salah (Liverpool),1,12.6,10,Chris Wood (Nott'm Forest),1,6.3,13,George Hirst (Ipswich),1,5.4,11,Nicolas N.Jackson (Chelsea),0,7.9,9,112,97.7
Dean Henderson (Crystal Palace),1,4.5,8,Ederson Ederson M. (Man City),0,5.5,6,Joško Gvardiol (Man City),1,6.1,9,Trevoh Chalobah (Crystal Palace),1,4.4,8,Virgil Virgil (Liverpool),1,6.1,7,Rúben Rúben (Man City),0,5.5,7,Lucas Digne (Aston Villa),0,4.6,7,Bryan Mbeumo (Brentford),1,7.6,15,Alex Iwobi (Fulham),1,5.5,11,Cole Palmer (Chelsea),1,10.9,10,Carlos Henrique Casemiro (Man Utd),1,4.8,10,Mohamed M.Salah (Liverpool),1,12.6,10,Chris Wood (Nott'm Forest),1,6.3,13,George Hirst (Ipswich),1,5.4,11,Matheus Cunha (Wolves),0,6.5,9,112,96.3
Dean Henderson (Crystal Palace),1,4.5,8,Ederson Ederson M. (Man City),0,5.5,6,Joško Gvardiol (Man City),1,6.1,9,Trevoh Chalobah (Crystal Palace),1,4.4,8,Virgil Virgil (Liverpool),1,6.1,7,Rúben Rúben (Man City),0,5.5,7,Lucas Digne (Aston Villa),0,4.6,7,Bryan Mbeumo (Brentford),1,7.6,15,Alex Iwobi (Fulham),1,5.5,11,Cole Palmer (Chelsea),1,10.9,10,Carlos Henrique Casemiro (Man Utd),1,4.8,10,Bukayo Saka (Arsenal),0,10.0,9,Chris Wood (Nott'm Forest),1,6.3,13,George Hirst (Ipswich),1,5.4,11,Yoane Wissa (Brentford),1,5.9,10,112,93.1
Dean Henderson (Crystal Palace),1,4.5,8,Ederson Ederson M. (Man City),0,5.5,6,Joško Gvardiol (Man City),1,6.1,9,Trevoh Chalobah (Crystal Palace),1,4.4,8,Virgil Virgil (Liverpool),1,6.1,7,Rúben Rúben (Man City),0,5.5,7,Lucas Digne (Aston Villa),0,4.6,7,Bryan Mbeumo (Brentford),1,7.6,15,Alex Iwobi (Fulham),1,5.5,11,Carlos Henrique Casemiro (Man Utd),1,4.8,10,Mohamed M.Salah (Liverpool),1,12.6,10,Bukayo Saka (Arsenal),0,10.0,9,Chris Wood (Nott'm Forest),1,6.3,13,George Hirst (Ipswich),1,5.4,11,Yoane Wissa (Brentford),1,5.9,10,112,94.8
Dean Henderson (Crystal Palace),1,4.5,8,Ederson Ederson M. (Man City),0,5.5,6,Joško Gvardiol (Man City),1,6.1,9,Trevoh Chalobah (Crystal Palace),1,4.4,8,Virgil Virgil (Liverpool),1,6.1,7,Rúben Rúben (Man City),0,5.5,7,Rayan Aït-Nouri (Wolves),0,4.5,6,Bryan Mbeumo (Brentford),1,7.6,15,Alex Iwobi (Fulham),1,5.5,11,Cole Palmer (Chelsea),1,10.9,10,Carlos Henrique Casemiro (Man Utd),1,4.8,10,Mohamed M.Salah (Liverpool),0,12.6,10,Chris Wood (Nott'm Forest),1,6.3,13,George Hirst (Ipswich),1,5.4,11,Yoane Wissa (Brentford),1,5.9,10,112,95.6
Dean Henderson (Crystal Palace),1,4.5,8,Ederson Ederson M. (Man City),0,5.5,6,Joško Gvardiol (Man City),1,6.1,9,Trevoh Chalobah (Crystal Palace),1,4.4,8,Virgil Virgil (Liverpool),1,6.1,7,Lucas Digne (Aston Villa),0,4.6,7,Rayan Aït-Nouri (Wolves),0,4.5,6,Bryan Mbeumo (Brentford),1,7.6,15,Alex Iwobi (Fulham),1,5.5,11,Cole Palmer (Chelsea),1,10.9,10,Carlos Henrique Casemiro (Man Utd),1,4.8,10,Mohamed M.Salah (Liverpool),0,12.6,10,Chris Wood (Nott'm Forest),1,6.3,13,George Hirst (Ipswich),1,5.4,11,Yoane Wissa (Brentford),1,5.9,10,112,94.7
Dean Henderson (Crystal Palace),1,4.5,8,Ederson Ederson M. (Man City),0,5.5,6,Joško Gvardiol (Man City),1,6.1,9,Trevoh Chalobah (Crystal Palace),1,4.4,8,Virgil Virgil (Liverpool),1,6.1,7,Rúben Rúben (Man City),0,5.5,7,Marc Guéhi (Crystal Palace),0,4.4,6,Bryan Mbeumo (Brentford),1,7.6,15,Alex Iwobi (Fulham),1,5.5,11,Cole Palmer (Chelsea),1,10.9,10,Carlos Henrique Casemiro (Man Utd),1,4.8,10,Mohamed M.Salah (Liverpool),0,12.6,10,Chris Wood (Nott'm Forest),1,6.3,13,George Hirst (Ipswich),1,5.4,11,Yoane Wissa (Brentford),1,5.9,10,112,95.5
Dean Henderson (Crystal Palace),1,4.5,8,Ederson Ederson M. (Man City),0,5.5,6,Joško Gvardiol (Man City),1,6.1,9,Trevoh Chalobah (Crystal Palace),1,4.4,8,Virgil Virgil (Liverpool),1,6.1,7,Rúben Rúben (Man City),0,5.5,7,Rico Lewis (Man City),0,4.8,6,Bryan Mbeumo (Brentford),1,7.6,15,Alex Iwobi (Fulham),1,5.5,11,Cole Palmer (Chelsea),1,10.9,10,Carlos Henrique Casemiro (Man Utd),1,4.8,10,Mohamed M.Salah (Liverpool),0,12.6,10,Chris Wood (Nott'm Forest),1,6.3,13,George Hirst (Ipswich),1,5.4,11,Yoane Wissa (Brentford),1,5.9,10,112,95.9
Dean Henderson (Crystal Palace),1,4.5,8,Ederson Ederson M. (Man City),0,5.5,6,Joško Gvardiol (Man City),1,6.1,9,Trevoh Chalobah (Crystal Palace),1,4.4,8,Virgil Virgil (Liverpool),1,6.1,7,Rúben Rúben (Man City),0,5.5,7,Ashley Young (Everton),0,4.5,6,Bryan Mbeumo (Brentford),1,7.6,15,Alex Iwobi (Fulham),1,5.5,11,Cole Palmer (Chelsea),1,10.9,10,Carlos Henrique Casemiro (Man Utd),1,4.8,10,Mohamed M.Salah (Liverpool),0,12.6,10,Chris Wood (Nott'm Forest),1,6.3,13,George Hirst (Ipswich),1,5.4,11,Yoane Wissa (Brentford),1,5.9,10,112,95.6
