GK1,GK1_selected,GK1_price,GK1_score,GK2,GK2_selected,GK2_price,GK2_score,DEF1,DEF1_selected,DEF1_price,DEF1_score,DEF2,DEF2_selected,DEF2_price,DEF2_score,DEF3,DEF3_selected,DEF3_price,DEF3_score,DEF4,DEF4_selected,DEF4_price,DEF4_score,DEF5,DEF5_selected,DEF5_price,DEF5_score,MID1,MID1_selected,MID1_price,MID1_score,MID2,MID2_selected,MID2_price,MID2_score,MID3,MID3_selected,MID3_price,MID3_score,MID4,MID4_selected,MID4_price,MID4_score,MID5,MID5_selected,MID5_price,MID5_score,FWD1,FWD1_selected,FWD1_price,FWD1_score,FWD2,FWD2_selected,FWD2_price,FWD2_score,FWD3,FWD3_selected,FWD3_price,FWD3_score,11_selected_total_scores,15_total_price
André Onana (Man Utd),1,5.0,2,Matz Sels (Nott'm Forest),0,4.5,6,Virgil van Dijk (Liverpool),1,6.1,5,Trent Alexander-Arnold (Liverpool),1,7.1,2,Joško Gvardiol (Man City),1,6.1,7,Diogo Dalot Teixeira (Man Utd),0,5.1,1,Lucas Digne (Aston Villa),0,4.6,0,Mohamed Salah (Liverpool),1,12.6,9,Cole Palmer (Chelsea),1,10.9,3,Bryan Mbeumo (Brentford),1,7.6,3,Luis Díaz (Liverpool),1,7.9,1,Dwight McNeil (Everton),1,5.8,2,Chris Wood (Nott'm Forest),1,6.3,7,Danny Welbeck (Brighton),1,5.9,5,Daniel Jebbison (Bournemouth),0,4.5,0,46,100.0
Matz Sels (Nott'm Forest),1,4.5,6,Robert Sánchez (Chelsea),0,4.7,3,Virgil van Dijk (Liverpool),1,6.1,5,Trent Alexander-Arnold (Liverpool),1,7.1,2,Joško Gvardiol (Man City),1,6.1,7,Ibrahima Konaté (Liverpool),0,5.3,1,Lucas Digne (Aston Villa),0,4.6,0,Mohamed Salah (Liverpool),1,12.6,9,Cole Palmer (Chelsea),1,10.9,3,Bryan Mbeumo (Brentford),1,7.6,3,Luis Díaz (Liverpool),1,7.9,1,Dwight McNeil (Everton),1,5.8,2,Chris Wood (Nott'm Forest),1,6.3,7,Danny Welbeck (Brighton),1,5.9,5,Ross Stewart (Southampton),0,4.6,0,50,100.0
Matz Sels (Nott'm Forest),1,4.5,6,Robert Sánchez (Chelsea),0,4.7,3,Virgil van Dijk (Liverpool),1,6.1,5,Trent Alexander-Arnold (Liverpool),1,7.1,2,Joško Gvardiol (Man City),1,6.1,7,Ibrahima Konaté (Liverpool),0,5.3,1,Lucas Digne (Aston Villa),0,4.6,0,Mohamed Salah (Liverpool),1,12.6,9,Cole Palmer (Chelsea),1,10.9,3,Bryan Mbeumo (Brentford),1,7.6,3,Luis Díaz (Liverpool),1,7.9,1,Dwight McNeil (Everton),1,5.8,2,Chris Wood (Nott'm Forest),1,6.3,7,Danny Welbeck (Brighton),1,5.9,5,Daniel Jebbison (Bournemouth),0,4.5,0,50,99.9
André Onana (Man Utd),1,5.0,2,Matz Sels (Nott'm Forest),0,4.5,6,Virgil van Dijk (Liverpool),1,6.1,5,Trent Alexander-Arnold (Liverpool),1,7.1,2,Joško Gvardiol (Man City),1,6.1,7,Ibrahima Konaté (Liverpool),0,5.3,1,Michael Keane (Everton),0,4.2,1,Mohamed Salah (Liverpool),1,12.6,9,Cole Palmer (Chelsea),1,10.9,3,Bryan Mbeumo (Brentford),1,7.6,3,Luis Díaz (Liverpool),1,7.9,1,Dwight McNeil (Everton),1,5.8,2,Chris Wood (Nott'm Forest),1,6.3,7,Danny Welbeck (Brighton),1,5.9,5,Ross Stewart (Southampton),0,4.6,0,46,99.9
André Onana (Man Utd),1,5.0,2,Matz Sels (Nott'm Forest),0,4.5,6,Virgil van Dijk (Liverpool),1,6.1,5,Trent Alexander-Arnold (Liverpool),1,7.1,2,Joško Gvardiol (Man City),1,6.1,7,Diogo Dalot Teixeira (Man Utd),0,5.1,1,Lucas Digne (Aston Villa),0,4.6,0,Mohamed Salah (Liverpool),1,12.6,9,Cole Palmer (Chelsea),1,10.9,3,Bryan Mbeumo (Brentford),1,7.6,3,Luis Díaz (Liverpool),1,7.9,1,Dwight McNeil (Everton),1,5.8,2,Chris Wood (Nott'm Forest),1,6.3,7,Danny Welbeck (Brighton),1,5.9,5,Mark O’Mahony (Brighton),0,4.5,0,46,100.0
André Onana (Man Utd),1,5.0,2,Matz Sels (Nott'm Forest),0,4.5,6,Virgil van Dijk (Liverpool),1,6.1,5,Trent Alexander-Arnold (Liverpool),1,7.1,2,Joško Gvardiol (Man City),1,6.1,7,Diogo Dalot Teixeira (Man Utd),0,5.1,1,Lucas Digne (Aston Villa),0,4.6,0,Mohamed Salah (Liverpool),1,12.6,9,Cole Palmer (Chelsea),1,10.9,3,Bryan Mbeumo (Brentford),1,7.6,3,Luis Díaz (Liverpool),1,7.9,1,Dwight McNeil (Everton),1,5.8,2,Chris Wood (Nott'm Forest),1,6.3,7,Danny Welbeck (Brighton),1,5.9,5,Freddie Ladapo (Ipswich),0,4.5,0,46,100.0
André Onana (Man Utd),1,5.0,2,Matz Sels (Nott'm Forest),0,4.5,6,Virgil van Dijk (Liverpool),1,6.1,5,Trent Alexander-Arnold (Liverpool),1,7.1,2,Joško Gvardiol (Man City),1,6.1,7,Diogo Dalot Teixeira (Man Utd),0,5.1,1,Lucas Digne (Aston Villa),0,4.6,0,Mohamed Salah (Liverpool),1,12.6,9,Cole Palmer (Chelsea),1,10.9,3,Bryan Mbeumo (Brentford),1,7.6,3,Luis Díaz (Liverpool),1,7.9,1,Dwight McNeil (Everton),1,5.8,2,Chris Wood (Nott'm Forest),1,6.3,7,Danny Welbeck (Brighton),1,5.9,5,Tom Cannon (Leicester),0,4.5,0,46,100.0
André Onana (Man Utd),1,5.0,2,Matz Sels (Nott'm Forest),0,4.5,6,Virgil van Dijk (Liverpool),1,6.1,5,Trent Alexander-Arnold (Liverpool),1,7.1,2,Joško Gvardiol (Man City),1,6.1,7,Diogo Dalot Teixeira (Man Utd),0,5.1,1,Lucas Digne (Aston Villa),0,4.6,0,Mohamed Salah (Liverpool),1,12.6,9,Cole Palmer (Chelsea),1,10.9,3,Bryan Mbeumo (Brentford),1,7.6,3,Luis Díaz (Liverpool),1,7.9,1,Dwight McNeil (Everton),1,5.8,2,Chris Wood (Nott'm Forest),1,6.3,7,Danny Welbeck (Brighton),1,5.9,5,Hwang Ui-jo (Nott'm Forest),0,4.5,0,46,100.0
André Onana (Man Utd),1,5.0,2,Matz Sels (Nott'm Forest),0,4.5,6,Virgil van Dijk (Liverpool),1,6.1,5,Trent Alexander-Arnold (Liverpool),1,7.1,2,Joško Gvardiol (Man City),1,6.1,7,Diogo Dalot Teixeira (Man Utd),0,5.1,1,Lucas Digne (Aston Villa),0,4.6,0,Mohamed Salah (Liverpool),1,12.6,9,Cole Palmer (Chelsea),1,10.9,3,Bryan Mbeumo (Brentford),1,7.6,3,Luis Díaz (Liverpool),1,7.9,1,Dwight McNeil (Everton),1,5.8,2,Chris Wood (Nott'm Forest),1,6.3,7,Danny Welbeck (Brighton),1,5.9,5,Dane Scarlett (Spurs),0,4.5,0,46,100.0
André Onana (Man Utd),1,5.0,2,Matz Sels (Nott'm Forest),0,4.5,6,Virgil van Dijk (Liverpool),1,6.1,5,Trent Alexander-Arnold (Liverpool),1,7.1,2,Joško Gvardiol (Man City),1,6.1,7,Diogo Dalot Teixeira (Man Utd),0,5.1,1,Lucas Digne (Aston Villa),0,4.6,0,Mohamed Salah (Liverpool),1,12.6,9,Cole Palmer (Chelsea),1,10.9,3,Bryan Mbeumo (Brentford),1,7.6,3,Luis Díaz (Liverpool),1,7.9,1,Dwight McNeil (Everton),1,5.8,2,Chris Wood (Nott'm Forest),1,6.3,7,Danny Welbeck (Brighton),1,5.9,5,Leon Chiwome (Wolves),0,4.5,0,46,100.0
