player_id,wins,losses,total_comparisons,win_rate,name
328,18702,1103,19805,0.9443069931835395,Mohamed Salah
99,17092,1888,18980,0.9005268703898841,Bryan Mbeumo
182,16176,2406,18582,0.8705198579270261,Cole Palmer
447,15534,2560,18094,0.8585166353487343,Chris Wood
755,6961,1193,8154,0.8536914397841551,Omar Marmoush
770,6069,1076,7145,0.849405178446466,Marshall Munetsi
247,15424,2784,18208,0.8471001757469244,Alex Iwobi
514,15147,2743,17890,0.8466741196198994,Jarrod Bowen
443,15322,2816,18138,0.8447458374682986,Matz Sels
401,15133,2847,17980,0.8416573971078977,Alexander Isak
89,15391,2908,18299,0.8410842122520357,Mikkel Damsgaard
394,15285,2902,18187,0.8404354758893715,Bruno Guimarães Rodriguez Moura
78,15442,2943,18385,0.839923850965461,Antoine Semenyo
110,14955,2946,17901,0.8354281883693648,Yoane Wissa
432,15071,3001,18072,0.8339420097388225,Anthony Elanga
91,15217,3111,18328,0.8302597119161939,Mark Flekken
15,15054,3103,18157,0.8291017238530595,David Raya Martin
54,14966,3168,18134,0.8253005404213081,Morgan Rogers
235,14829,3139,17968,0.8253005342831701,Jordan Pickford
58,14710,3246,17956,0.8192247716640677,Ollie Watkins
585,14863,3299,18162,0.8183570091399626,Ismaïla Sarr
136,14372,3192,17564,0.8182646322022319,Mitoma Kaoru
207,14663,3316,17979,0.8155626008120586,Jean-Philippe Mateta
252,14374,3260,17634,0.8151298627651129,Raúl Jiménez
248,14516,3334,17850,0.8132212885154062,Bernd Leno
402,14536,3423,17959,0.8093991870371402,Jacob Murphy
23,14864,3516,18380,0.8087051142546245,Leandro Trossard
327,14615,3464,18079,0.8083964821063112,Luis Díaz
70,14277,3389,17666,0.8081625721725348,Milos Kerkez
339,14362,3462,17824,0.8057675044883303,Virgil van Dijk
201,14418,3484,17902,0.8053848731985253,Dean Henderson
168,14258,3475,17733,0.8040376698810128,Enzo Fernández
157,14193,3463,17656,0.8038627095604893,Moisés Caicedo Corozo
57,14350,3521,17871,0.8029768899334117,Youri Tielemans
768,5536,1359,6895,0.8029006526468455,Mathys Tel
573,14076,3473,17549,0.8020969855832241,Nikola Milenković
423,14242,3529,17771,0.8014180406279894,Elliot Anderson
366,14630,3676,18306,0.7991915219053862,Bruno Borges Fernandes
106,14033,3528,17561,0.7991002790273902,Kevin Schade
566,13897,3531,17428,0.7973949965572642,Jørgen Strand Larsen
20,13967,3632,17599,0.7936246377635093,Thomas Partey
323,14457,3792,18249,0.7922077922077922,Ryan Gravenberch
98,13912,3663,17575,0.791578947368421,Keane Lewis-Potter
541,13456,3579,17035,0.789903140592897,Matheus Santos Carneiro Da Cunha
222,13566,3774,17340,0.7823529411764706,Idrissa Gueye
350,13530,3830,17360,0.7793778801843319,Joško Gvardiol
623,13078,3712,16790,0.7789160214413341,Mateus Gonçalo Espanha Fernandes
336,13627,3903,17530,0.7773531089560753,Dominik Szoboszlai
268,13346,3838,17184,0.7766527001862198,Liam Delap
306,13357,3842,17199,0.7766149194720623,Jamie Vardy
329,13824,3991,17815,0.7759753017120404,Alexis Mac Allister
71,13344,3887,17231,0.7744181997562533,Justin Kluivert
351,13183,3900,17083,0.771702862494878,Erling Haaland
16,13679,4049,17728,0.7716042418772563,Declan Rice
433,13518,4083,17601,0.7680245440599965,Morgan Gibbs-White
417,13362,4054,17416,0.7672255397335783,Sandro Tonali
525,13090,4003,17093,0.7658105657286609,Mohammed Kudus
372,13132,4052,17184,0.7641992551210428,Alejandro Garnacho
398,13180,4075,17255,0.7638365691104028,Anthony Gordon
342,12993,4072,17065,0.761382947553472,Bernardo Veiga de Carvalho e Silva
436,12862,4036,16898,0.7611551662918689,Murillo Santiago Costa dos Santos
199,13766,4336,18102,0.760468456524141,Eberechi Eze
47,13365,4241,17606,0.7591162103828241,Emiliano Martínez Romero
9,13095,4167,17262,0.7586027111574557,Gabriel Martinelli Silva
383,12840,4105,16945,0.7577456476836825,André Onana
617,12313,4047,16360,0.7526283618581907,Francisco Evanilson de Lima Barbosa
101,12994,4311,17305,0.7508812481941636,Christian Nørgaard
650,11880,3947,15827,0.7506160358880394,Maxence Lacroix
18,12986,4322,17308,0.7502888837531777,William Saliba
210,12866,4377,17243,0.7461578611610509,Tyrick Mitchell
185,12467,4271,16738,0.7448321185326802,Robert Sánchez
88,12640,4360,17000,0.7435294117647059,Nathan Collins
13,12719,4425,17144,0.7418922071861875,Martin Ødegaard
625,12339,4306,16645,0.7413036948032442,Ilkay Gündogan
311,12463,4399,16862,0.7391175424030364,Trent Alexander-Arnold
409,12332,4356,16688,0.7389741131351869,Tino Livramento
392,12575,4444,17019,0.7388800752100594,Harvey Barnes
211,13322,4710,18032,0.7387976929902396,Daniel Muñoz
530,12358,4400,16758,0.7374388351831961,Tomáš Souček
163,12433,4437,16870,0.7369887374036752,Marc Cucurella Saseta
232,12159,4354,16513,0.7363289529461636,Iliman Ndiaye
224,12469,4468,16937,0.7361988545787329,Jack Harrison
492,12202,4420,16622,0.7340873541090122,Dejan Kulusevski
762,5004,1821,6825,0.7331868131868132,Marco Asensio
560,12401,4515,16916,0.7330929297706313,Pedro Lomba Neto
239,12342,4508,16850,0.7324629080118694,Adama Traoré
255,12171,4503,16674,0.7299388269161569,Antonee Robinson
491,12128,4489,16617,0.7298549678040561,Brennan Johnson
177,12208,4520,16728,0.729794356767097,Noni Madueke
321,12312,4611,16923,0.7275305796844531,Cody Gakpo
64,12369,4636,17005,0.7273743016759776,Lewis Cook
19,12050,4528,16578,0.7268669320786585,Emile Smith Rowe
152,12333,4639,16972,0.7266674522743342,Kepa Arrizabalaga
642,11451,4353,15804,0.7245634016704632,André Trindade da Costa Neto
6,12140,4658,16798,0.7227050839385641,Jurriën Timber
434,12012,4613,16625,0.7225263157894737,Callum Hudson-Odoi
146,12360,4774,17134,0.7213727092331038,Bart Verbruggen
231,12186,4709,16895,0.7212784847588044,Vitalii Mykolenko
74,12001,4662,16663,0.7202184480585729,Dango Ouattara
48,12191,4748,16939,0.7197001003601157,John McGinn
553,12112,4719,16831,0.7196245024062742,João Victor Gomes da Silva
148,11770,4613,16383,0.7184276384056644,Danny Welbeck
635,11316,4444,15760,0.718020304568528,Bilal El Khannouss
324,12052,4883,16935,0.7116622379687039,Curtis Jones
388,11979,4854,16833,0.711637854214935,Aaron Wan-Bissaka
533,11935,4846,16781,0.7112210237768906,Rayan Aït-Nouri
274,11546,4703,16249,0.7105668041110222,Omari Giraud-Hutchinson
422,11595,4728,16323,0.7103473626171659,Ola Aina
720,5681,2317,7998,0.710302575643911,Emmanuel Agbadou
594,11598,4745,16343,0.7096616288319159,Noussair Mazraoui
115,11964,4919,16883,0.7086418290588166,Carlos Baleba
503,11535,4760,16295,0.7078858545566125,Son Heung-min
354,11740,4861,16601,0.7071863140774652,Mateo Kovačić
85,11750,4869,16619,0.7070220831578314,Illia Zabarnyi
415,11940,4983,16923,0.7055486615848254,Fabian Schär
494,11433,4851,16284,0.7021002210759028,James Maddison
437,11448,4870,16318,0.7015565633043265,Neco Williams
413,11497,4924,16421,0.7001400645514889,Nick Pope
162,11368,4881,16249,0.6996122838328512,Levi Colwill
395,11858,5099,16957,0.6992982249218612,Dan Burn
535,11577,5018,16595,0.6976197649894547,Jean-Ricner Bellegarde
135,11270,4943,16213,0.6951211990378091,Yankuba Minteh
600,11362,4988,16350,0.6949235474006116,Yasin Ayari
14,11406,5031,16437,0.6939222485855083,Aaron Ramsdale
386,11379,5032,16411,0.6933763938821522,Jadon Sancho
217,11822,5322,17144,0.6895706952869809,Abdoulaye Doucouré
326,11240,5136,16376,0.6863702979970688,Ibrahima Konaté
180,11207,5125,16332,0.6861988733774186,Nicolas Jackson
310,11246,5154,16400,0.6857317073170732,Alisson Ramses Becker
236,11113,5100,16213,0.6854376117930057,James Tarkowski
44,11261,5169,16430,0.685392574558734,Ezri Konsa Ngoyo
3,11017,5093,16110,0.683860955927995,Gabriel dos Santos Magalhães
83,11061,5147,16208,0.6824407699901284,Marcus Tavernier
240,10914,5095,16009,0.681741520394778,Andreas Hoelgebaum Pereira
527,10935,5139,16074,0.6802911534154535,Lucas Tolentino Coelho de Lima
618,10561,5004,15565,0.678509476389335,Georginio Rutter
375,11021,5246,16267,0.6775066084711379,Rasmus Højlund
524,10880,5191,16071,0.6769958309999378,Max Kilman
278,11013,5270,16283,0.676349567033102,Sam Morsy
94,10854,5226,16080,0.675,Vitaly Janelt
619,10521,5091,15612,0.6739046887009992,Jens Cajuste
206,11037,5353,16390,0.67339841366687,Jefferson Lerma Solís
36,10919,5309,16228,0.6728493961054967,Lucas Digne
346,10933,5375,16308,0.6704071621290164,Jérémy Doku
403,10610,5243,15853,0.6692739544565698,Joelinton Cássio Apolinário de Lira
765,4250,2102,6352,0.6690806045340051,Nico González
369,10634,5328,15962,0.6662072422002255,Diogo Dalot Teixeira
764,4137,2073,6210,0.6661835748792271,Alex Palmer
82,10505,5279,15784,0.6655473897617841,Dominic Solanke-Mitchell
219,10805,5466,16271,0.6640649007436543,Jarrad Branthwaite
499,10479,5336,15815,0.6625987986089156,Pape Matar Sarr
452,10491,5370,15861,0.6614337053149234,Joe Aribo
241,10596,5500,16096,0.6583001988071571,Calvin Bassey
345,10608,5513,16121,0.6580236958005087,Kevin De Bruyne
63,10302,5356,15658,0.6579384340273343,Ryan Christie
495,10907,5687,16594,0.6572857659394962,Pedro Porro
192,10273,5433,15706,0.6540812428371323,Jordan Ayew
559,10565,5605,16170,0.6533704390847248,Nélson Cabral Semedo
348,10467,5569,16036,0.6527188825143427,Phil Foden
714,5127,2737,7864,0.6519582909460834,Diego Gómez
364,10179,5458,15637,0.6509560657415105,Amad Diallo
622,9973,5423,15396,0.6477656534164719,Sander Berge
218,10269,5589,15858,0.6475595913734393,Norberto Bercique Gomes Betuncal
17,10227,5579,15806,0.6470327723649247,Bukayo Saka
633,9885,5403,15288,0.646585557299843,Mikel Merino
300,10045,5492,15537,0.6465212074403038,Wilfred Ndidi
251,10154,5562,15716,0.6460931534741664,Rodrigo Muniz Carvalho
757,4208,2318,6526,0.6448053938093778,Michael Kayode
347,10170,5620,15790,0.6440785307156428,Ederson Santana de Moraes
200,11474,6357,17831,0.6434860635971061,Marc Guéhi
249,10070,5580,15650,0.6434504792332268,Saša Lukić
631,9817,5442,15259,0.6433580182187562,Jack Clarke
449,10166,5639,15805,0.6432141727301487,Ryan Yates
335,10687,5933,16620,0.643020457280385,Andrew Robertson
431,10244,5704,15948,0.6423375971908704,Nicolás Domínguez
554,10250,5711,15961,0.6421903389511935,José Malheiro de Sá
53,10289,5733,16022,0.6421795031831232,Jacob Ramsey
129,10249,5730,15979,0.6414043432004506,João Pedro Junqueira de Jesus
608,10139,5687,15826,0.640654618981423,Tyler Dibling
144,10776,6048,16824,0.6405135520684736,Jan Paul van Hecke
571,10132,5752,15884,0.637874590783178,Sávio 'Savinho' Moreira de Oliveira
27,10090,5744,15834,0.6372363268914993,Cameron Archer
356,10021,5733,15754,0.6360924209724514,Matheus Luiz Nunes
126,9863,5706,15569,0.6335024728627401,Jack Hinshelwood
580,9892,5771,15663,0.6315520653770031,Dean Huijsen
317,9933,5917,15850,0.6266876971608832,Diogo Teixeira da Silva
725,4742,2838,7580,0.6255936675461742,Donyell Malen
298,9712,5827,15539,0.6250080442756935,Stephy Mavididi
385,9758,5860,15618,0.6247919067742349,Marcus Rashford
285,9697,5857,15554,0.6234409155201235,Boubakary Soumaré
399,9566,5795,15361,0.6227459149794935,Lewis Hall
238,10383,6312,16695,0.6219227313566936,Ashley Young
513,9858,6007,15865,0.6213677907343208,Alphonse Areola
205,10108,6189,16297,0.6202368534086028,Daichi Kamada
203,9717,6027,15744,0.6171875,Will Hughes
60,9625,5971,15596,0.6171454219030521,Tyler Adams
113,9634,6006,15640,0.6159846547314578,Simon Adingra
389,9510,5959,15469,0.6147779429827397,Joshua Zirkzee
361,9455,6015,15470,0.6111829347123465,Rúben Gato Alves Dias
117,9415,6060,15475,0.6084006462035542,Facundo Buonanotte
32,9546,6189,15735,0.6066730219256434,Matty Cash
159,9234,6074,15308,0.6032140057486282,Trevoh Chalobah
