element,total_points,avg_points,std_points,total_minutes,games_played,start_price,end_price,position,team,name
1,0,0.0,0.0,0,38,5.5,5.4,MID,Arsenal,Fábio Ferreira Vieira
2,42,1.11,3.17,600,38,7.0,6.5,FWD,Arsenal,Gabriel Fernando de Jesus
3,117,3.08,3.44,2363,38,6.0,6.1,DEF,Arsenal,Gabriel dos Santos Magalhães
4,97,2.55,3.43,1872,38,8.0,7.7,FWD,Arsenal,Kai Havertz
5,0,0.0,0.0,0,38,4.0,4.0,GK,Arsenal,Karl Hein
6,114,3.0,3.23,2415,38,5.5,5.5,DEF,Arsenal,Jurriën Timber
7,20,0.53,0.86,701,38,5.0,4.6,MID,Arsenal,Jorge Luiz Frello Filho
8,43,1.13,2.0,1117,38,5.0,4.9,DEF,Arsenal,Jakub Kiwior
9,125,3.29,3.01,2284,38,7.0,6.5,MID,Arsenal,Gabriel Martinelli Silva
10,27,0.71,1.47,483,38,5.0,5.0,MID,Arsenal,Reiss Nelson
11,53,1.39,2.38,1018,38,6.0,5.9,FWD,Arsenal,Eddie Nketiah
12,66,1.74,2.27,882,38,4.5,4.3,MID,Arsenal,Ethan Nwaneri
13,116,3.05,2.61,2321,38,8.5,8.2,MID,Arsenal,Martin Ødegaard
14,97,2.55,3.35,2700,38,4.5,4.4,GK,Arsenal,Aaron Ramsdale
15,142,3.74,2.67,3420,38,5.5,5.6,GK,Arsenal,David Raya Martin
16,127,3.34,3.22,2823,38,6.5,6.3,MID,Arsenal,Declan Rice
17,127,3.34,4.69,1724,38,10.0,10.4,MID,Arsenal,Bukayo Saka
18,130,3.42,3.53,3039,38,6.0,6.4,DEF,Arsenal,William Saliba
19,114,3.0,3.26,2036,38,5.5,5.0,MID,Fulham,Emile Smith Rowe
20,108,2.84,2.58,2793,38,5.0,4.9,MID,Arsenal,Thomas Partey
21,27,0.71,1.86,250,38,4.5,4.3,DEF,Arsenal,Kieran Tierney
22,1,0.03,0.16,6,38,5.0,4.8,DEF,Arsenal,Tomiyasu Takehiro
23,152,4.0,3.9,2546,38,7.0,6.7,MID,Arsenal,Leandro Trossard
24,50,1.32,2.14,1195,38,6.5,6.2,DEF,Arsenal,Benjamin White
25,40,1.05,2.27,518,38,5.0,4.8,DEF,Arsenal,Oleksandr Zinchenko
26,34,0.89,1.96,952,38,4.5,4.2,DEF,Aston Villa,Álex Moreno Lopera
27,57,1.5,1.67,1421,38,5.0,4.8,FWD,Southampton,Cameron Archer
28,47,1.24,1.76,1132,38,6.5,6.2,MID,Aston Villa,Leon Bailey
29,44,1.16,2.26,567,38,5.5,5.2,MID,Aston Villa,Ross Barkley
30,0,0.0,0.0,0,38,5.0,4.9,MID,Aston Villa,Enzo Barrenechea
31,11,0.29,0.46,89,38,5.5,5.1,MID,Aston Villa,Emiliano Buendía Stati
32,76,2.0,2.37,2069,38,4.5,4.4,DEF,Aston Villa,Matty Cash
33,0,0.0,0.0,0,38,4.5,4.5,MID,Aston Villa,Leander Dendoncker
34,0,0.0,0.0,0,38,6.5,6.5,MID,Aston Villa,Moussa Diaby
35,21,0.55,1.52,828,38,4.5,4.5,DEF,Aston Villa,Diego Carlos Santos Silva
36,89,2.34,2.42,2348,38,4.5,4.4,DEF,Aston Villa,Lucas Digne
37,0,0.0,0.0,0,38,5.0,5.0,MID,Aston Villa,Lewis Dobbin
38,53,1.39,2.47,622,38,6.0,5.7,FWD,Aston Villa,Jhon Durán
39,0,0.0,0.0,0,38,4.0,4.0,GK,Aston Villa,Joe Gauci
40,0,0.0,0.0,0,38,4.0,3.9,DEF,Aston Villa,Kortney Hause
41,0,0.0,0.0,0,38,5.5,5.4,MID,Aston Villa,Samuel Iling-Junior
42,57,1.5,1.8,1720,38,5.0,5.0,MID,Aston Villa,Boubacar Kamara
43,0,0.0,0.0,0,38,4.0,4.0,DEF,Aston Villa,Kaine Kesler-Hayden
44,103,2.71,3.29,2936,38,4.5,4.5,DEF,Aston Villa,Ezri Konsa Ngoyo
45,57,1.5,2.02,1125,38,5.0,4.5,DEF,Aston Villa,Ian Maatsen
46,0,0.0,0.0,0,38,4.0,4.0,GK,Aston Villa,Filip Marschall
47,111,2.92,2.62,3195,38,5.0,5.0,GK,Aston Villa,Emiliano Martínez Romero
48,78,2.05,1.52,2217,38,5.5,5.2,MID,Aston Villa,John McGinn
49,47,1.24,2.32,1119,38,4.5,4.4,DEF,Aston Villa,Tyrone Mings
50,5,0.13,0.34,121,38,4.0,3.9,DEF,Aston Villa,Kosta Nedeljković
51,9,0.24,1.15,225,38,4.5,4.5,GK,Aston Villa,Robin Olsen
52,55,1.45,2.16,2019,38,4.5,4.2,DEF,Aston Villa,Pau Torres
53,66,1.74,2.06,1616,38,5.5,5.4,MID,Aston Villa,Jacob Ramsey
54,161,4.24,3.51,3115,38,5.0,5.8,MID,Aston Villa,Morgan Rogers
55,0,0.0,0.0,0,38,4.0,4.0,GK,Aston Villa,Viljami Sinisalo
56,0,0.0,0.0,0,38,4.0,4.0,DEF,Aston Villa,Lino da Cruz Sousa
57,121,3.18,2.73,3025,38,5.5,5.5,MID,Aston Villa,Youri Tielemans
58,186,4.89,3.91,2593,38,9.0,9.2,FWD,Aston Villa,Ollie Watkins
59,8,0.21,0.99,84,38,4.5,4.3,DEF,Bournemouth,Max Aarons
60,58,1.53,1.69,1959,38,5.0,4.9,MID,Bournemouth,Tyler Adams
61,0,0.0,0.0,0,38,4.5,4.5,MID,Bournemouth,Jaidon Anthony
62,52,1.37,1.46,941,38,5.0,4.9,MID,Bournemouth,David Brooks
63,76,2.0,2.42,2114,38,5.0,4.8,MID,Bournemouth,Ryan Christie
64,82,2.16,1.97,2976,38,5.0,5.0,MID,Bournemouth,Lewis Cook
