team,wins,losses,total_comparisons,win_rate
Liverpool,103,30,133,0.7744360902255639
Arsenal,94,38,132,0.7121212121212122
Chelsea,92,40,132,0.696969696969697
Man City,86,46,132,0.6515151515151515
Aston Villa,85,47,132,0.6439393939393939
Brighton,78,55,133,0.5864661654135338
Newcastle,75,57,132,0.5681818181818182
Fulham,72,60,132,0.5454545454545454
Spurs,72,61,133,0.5413533834586466
Brentford,68,64,132,0.5151515151515151
Man Utd,63,70,133,0.47368421052631576
Nott'm Forest,61,71,132,0.4621212121212121
Leicester,60,72,132,0.45454545454545453
Bournemouth,55,76,131,0.4198473282442748
Everton,55,77,132,0.4166666666666667
West Ham,55,77,132,0.4166666666666667
Ipswich,47,85,132,0.3560606060606061
Crystal Palace,41,91,132,0.3106060606060606
Wolves,34,98,132,0.25757575757575757
Southampton,26,107,133,0.19548872180451127
