team,total_points,avg_points_per_player,std_points,total_minutes,total_goals,total_assists,total_clean_sheets,total_goals_conceded,total_yellow_cards,total_red_cards,name,players_used,gameweeks_played,next_week_points,upcoming_difficulty
Arsenal,1747,1.56,2.78,33347,61,56,134,319,60,5,Arsenal,40,33,36,3.0
Aston Villa,1479,1.1,2.22,33481,52,47,74,539,66,2,Aston Villa,46,32,74,3.0
Bournemouth,1522,1.28,2.49,33459,52,48,105,451,88,2,Bournemouth,42,34,60,3.0
Brentford,1529,1.27,2.55,33534,57,50,83,550,53,1,Brentford,40,34,61,3.0
Brighton,1478,0.93,2.13,33448,54,46,86,603,70,3,Brighton,54,34,46,3.0
Chelsea,1588,1.08,2.46,33561,57,55,99,440,92,1,Chelsea,54,34,55,3.0
Crystal Palace,1488,1.3,2.53,33485,41,39,108,517,69,4,Crystal Palace,41,32,44,3.0
Everton,1403,1.32,2.46,33534,31,28,118,451,71,2,Everton,35,33,42,3.0
Fulham,1464,1.43,2.47,33500,49,46,71,506,71,2,Fulham,32,34,21,3.0
Ipswich,1049,0.89,1.85,33338,32,25,29,814,78,5,Ipswich,40,34,41,3.0
Leicester,954,0.8,1.62,33551,27,24,17,836,80,0,Leicester,40,34,80,3.0
Liverpool,2025,1.82,3.19,33467,79,72,159,352,60,2,Liverpool,36,32,27,3.0
Man City,1649,1.49,2.79,33568,65,56,118,473,56,1,Man City,39,33,67,3.0
Man Utd,1351,1.12,2.34,33400,37,33,91,517,74,3,Man Utd,45,34,39,3.0
Newcastle,1750,1.53,2.81,33480,63,57,132,484,59,1,Newcastle,36,33,39,3.0
Nott'm Forest,1659,1.44,2.62,33516,52,45,147,451,70,2,Nott'm Forest,37,34,33,3.0
Southampton,995,0.76,1.59,33455,24,21,32,880,83,3,Southampton,43,34,14,3.0
Spurs,1464,1.03,2.28,33549,59,56,68,616,62,1,Spurs,49,34,36,3.0
West Ham,1290,1.27,2.3,33487,36,34,73,638,68,3,West Ham,34,34,41,3.0
Wolves,1479,1.05,2.33,33548,50,43,91,671,70,2,Wolves,46,34,27,3.0
