GK1,GK1_selected,GK1_price,GK1_score,GK2,GK2_selected,GK2_price,GK2_score,DEF1,DEF1_selected,DEF1_price,DEF1_score,DEF2,DEF2_selected,DEF2_price,DEF2_score,DEF3,DEF3_selected,DEF3_price,DEF3_score,DEF4,DEF4_selected,DEF4_price,DEF4_score,DEF5,DEF5_selected,DEF5_price,DEF5_score,MID1,MID1_selected,MID1_price,MID1_score,MID2,MID2_selected,MID2_price,MID2_score,MID3,MID3_selected,MID3_price,MID3_score,MID4,MID4_selected,MID4_price,MID4_score,MID5,MID5_selected,MID5_price,MID5_score,FWD1,FWD1_selected,FWD1_price,FWD1_score,FWD2,FWD2_selected,FWD2_price,FWD2_score,FWD3,FWD3_selected,FWD3_price,FWD3_score,11_selected_total_scores,15_total_price
Alisson A.Becker (Liverpool),1,5.4,1.1638,Caoimhin Kelleher (Liverpool),0,4.4,0.9863,Virgil Virgil (Liverpool),1,6.1,1.3255,Trent Alexander-Arnold (Liverpool),1,7.1,1.2547,Ibrahima Konaté (Liverpool),1,5.3,1.241,Andrew Robertson (Liverpool),1,6.0,1.226,Sepp Van den Berg (Liverpool),0,4.0,1.0654,Mohamed M.Salah (Liverpool),1,12.6,1.4105,Luis Luis Díaz (Liverpool),1,7.9,1.2756,Ryan Gravenberch (Liverpool),1,5.0,1.239,Dominik Szoboszlai (Liverpool),1,6.4,1.1945,Diogo Diogo J. (Liverpool),1,7.4,1.1756,Cody Gakpo (Liverpool),1,7.1,1.108,Darwin Darwin (Liverpool),0,7.1,1.071,Danny Welbeck (Brighton),0,5.9,1.0414,13.61,97.7
Alisson A.Becker (Liverpool),1,5.4,1.1638,Ederson Ederson M. (Man City),0,5.5,0.9824,Virgil Virgil (Liverpool),1,6.1,1.3255,Trent Alexander-Arnold (Liverpool),1,7.1,1.2547,Ibrahima Konaté (Liverpool),1,5.3,1.241,Andrew Robertson (Liverpool),1,6.0,1.226,Sepp Van den Berg (Liverpool),0,4.0,1.0654,Mohamed M.Salah (Liverpool),1,12.6,1.4105,Luis Luis Díaz (Liverpool),1,7.9,1.2756,Ryan Gravenberch (Liverpool),1,5.0,1.239,Dominik Szoboszlai (Liverpool),1,6.4,1.1945,Diogo Diogo J. (Liverpool),1,7.4,1.1756,Cody Gakpo (Liverpool),1,7.1,1.108,Darwin Darwin (Liverpool),0,7.1,1.071,Danny Welbeck (Brighton),0,5.9,1.0414,13.61,98.8
Alisson A.Becker (Liverpool),1,5.4,1.1638,Caoimhin Kelleher (Liverpool),0,4.4,0.9863,Virgil Virgil (Liverpool),1,6.1,1.3255,Trent Alexander-Arnold (Liverpool),1,7.1,1.2547,Ibrahima Konaté (Liverpool),1,5.3,1.241,Andrew Robertson (Liverpool),1,6.0,1.226,Joško Gvardiol (Man City),0,6.1,1.0374,Mohamed M.Salah (Liverpool),1,12.6,1.4105,Luis Luis Díaz (Liverpool),1,7.9,1.2756,Ryan Gravenberch (Liverpool),1,5.0,1.239,Dominik Szoboszlai (Liverpool),1,6.4,1.1945,Diogo Diogo J. (Liverpool),1,7.4,1.1756,Cody Gakpo (Liverpool),1,7.1,1.108,Darwin Darwin (Liverpool),0,7.1,1.071,Danny Welbeck (Brighton),0,5.9,1.0414,13.61,99.8
Alisson A.Becker (Liverpool),1,5.4,1.1638,Caoimhin Kelleher (Liverpool),0,4.4,0.9863,Virgil Virgil (Liverpool),1,6.1,1.3255,Trent Alexander-Arnold (Liverpool),1,7.1,1.2547,Ibrahima Konaté (Liverpool),1,5.3,1.241,Andrew Robertson (Liverpool),1,6.0,1.226,Sepp Van den Berg (Liverpool),0,4.0,1.0654,Mohamed M.Salah (Liverpool),1,12.6,1.4105,Luis Luis Díaz (Liverpool),1,7.9,1.2756,Ryan Gravenberch (Liverpool),1,5.0,1.239,Dominik Szoboszlai (Liverpool),1,6.4,1.1945,Diogo Diogo J. (Liverpool),1,7.4,1.1756,Cody Gakpo (Liverpool),1,7.1,1.108,Darwin Darwin (Liverpool),0,7.1,1.071,Nicolas N.Jackson (Chelsea),0,7.9,0.9994,13.61,99.7
Alisson A.Becker (Liverpool),1,5.4,1.1638,Caoimhin Kelleher (Liverpool),0,4.4,0.9863,Virgil Virgil (Liverpool),1,6.1,1.3255,Trent Alexander-Arnold (Liverpool),1,7.1,1.2547,Ibrahima Konaté (Liverpool),1,5.3,1.241,Andrew Robertson (Liverpool),1,6.0,1.226,Konstantinos Tsimikas (Liverpool),0,4.6,1.0198,Mohamed M.Salah (Liverpool),1,12.6,1.4105,Luis Luis Díaz (Liverpool),1,7.9,1.2756,Ryan Gravenberch (Liverpool),1,5.0,1.239,Dominik Szoboszlai (Liverpool),1,6.4,1.1945,Diogo Diogo J. (Liverpool),1,7.4,1.1756,Cody Gakpo (Liverpool),1,7.1,1.108,Darwin Darwin (Liverpool),0,7.1,1.071,Danny Welbeck (Brighton),0,5.9,1.0414,13.61,98.3
Alisson A.Becker (Liverpool),1,5.4,1.1638,Ederson Ederson M. (Man City),0,5.5,0.9824,Virgil Virgil (Liverpool),1,6.1,1.3255,Trent Alexander-Arnold (Liverpool),1,7.1,1.2547,Ibrahima Konaté (Liverpool),1,5.3,1.241,Andrew Robertson (Liverpool),1,6.0,1.226,Konstantinos Tsimikas (Liverpool),0,4.6,1.0198,Mohamed M.Salah (Liverpool),1,12.6,1.4105,Luis Luis Díaz (Liverpool),1,7.9,1.2756,Ryan Gravenberch (Liverpool),1,5.0,1.239,Dominik Szoboszlai (Liverpool),1,6.4,1.1945,Diogo Diogo J. (Liverpool),1,7.4,1.1756,Cody Gakpo (Liverpool),1,7.1,1.108,Darwin Darwin (Liverpool),0,7.1,1.071,Danny Welbeck (Brighton),0,5.9,1.0414,13.61,99.4
Alisson A.Becker (Liverpool),1,5.4,1.1638,Robert Sánchez (Chelsea),0,4.7,0.9281,Virgil Virgil (Liverpool),1,6.1,1.3255,Trent Alexander-Arnold (Liverpool),1,7.1,1.2547,Ibrahima Konaté (Liverpool),1,5.3,1.241,Andrew Robertson (Liverpool),1,6.0,1.226,Sepp Van den Berg (Liverpool),0,4.0,1.0654,Mohamed M.Salah (Liverpool),1,12.6,1.4105,Luis Luis Díaz (Liverpool),1,7.9,1.2756,Ryan Gravenberch (Liverpool),1,5.0,1.239,Dominik Szoboszlai (Liverpool),1,6.4,1.1945,Diogo Diogo J. (Liverpool),1,7.4,1.1756,Cody Gakpo (Liverpool),1,7.1,1.108,Darwin Darwin (Liverpool),0,7.1,1.071,Danny Welbeck (Brighton),0,5.9,1.0414,13.61,98.0
Alisson A.Becker (Liverpool),1,5.4,1.1638,Caoimhin Kelleher (Liverpool),0,4.4,0.9863,Virgil Virgil (Liverpool),1,6.1,1.3255,Trent Alexander-Arnold (Liverpool),1,7.1,1.2547,Ibrahima Konaté (Liverpool),1,5.3,1.241,Andrew Robertson (Liverpool),1,6.0,1.226,Rico Lewis (Man City),0,4.8,1.0068,Mohamed M.Salah (Liverpool),1,12.6,1.4105,Luis Luis Díaz (Liverpool),1,7.9,1.2756,Ryan Gravenberch (Liverpool),1,5.0,1.239,Dominik Szoboszlai (Liverpool),1,6.4,1.1945,Diogo Diogo J. (Liverpool),1,7.4,1.1756,Cody Gakpo (Liverpool),1,7.1,1.108,Darwin Darwin (Liverpool),0,7.1,1.071,Danny Welbeck (Brighton),0,5.9,1.0414,13.61,98.5
Alisson A.Becker (Liverpool),1,5.4,1.1638,Ederson Ederson M. (Man City),0,5.5,0.9824,Virgil Virgil (Liverpool),1,6.1,1.3255,Trent Alexander-Arnold (Liverpool),1,7.1,1.2547,Ibrahima Konaté (Liverpool),1,5.3,1.241,Andrew Robertson (Liverpool),1,6.0,1.226,Rico Lewis (Man City),0,4.8,1.0068,Mohamed M.Salah (Liverpool),1,12.6,1.4105,Luis Luis Díaz (Liverpool),1,7.9,1.2756,Ryan Gravenberch (Liverpool),1,5.0,1.239,Dominik Szoboszlai (Liverpool),1,6.4,1.1945,Diogo Diogo J. (Liverpool),1,7.4,1.1756,Cody Gakpo (Liverpool),1,7.1,1.108,Darwin Darwin (Liverpool),0,7.1,1.071,Danny Welbeck (Brighton),0,5.9,1.0414,13.61,99.6
Alisson A.Becker (Liverpool),1,5.4,1.1638,Caoimhin Kelleher (Liverpool),0,4.4,0.9863,Virgil Virgil (Liverpool),1,6.1,1.3255,Trent Alexander-Arnold (Liverpool),1,7.1,1.2547,Ibrahima Konaté (Liverpool),1,5.3,1.241,Andrew Robertson (Liverpool),1,6.0,1.226,Sepp Van den Berg (Liverpool),0,4.0,1.0654,Mohamed M.Salah (Liverpool),1,12.6,1.4105,Luis Luis Díaz (Liverpool),1,7.9,1.2756,Ryan Gravenberch (Liverpool),1,5.0,1.239,Dominik Szoboszlai (Liverpool),1,6.4,1.1945,Diogo Diogo J. (Liverpool),1,7.4,1.1756,Cody Gakpo (Liverpool),1,7.1,1.108,Danny Welbeck (Brighton),0,5.9,1.0414,Nicolas N.Jackson (Chelsea),0,7.9,0.9994,13.61,98.5
