player_2025,team_2025,price_2025,player_2024,team_2024,total_points_2024,games_played_2024,mapping_type,position
David Raya Martín,Arsenal,5.5,David Raya Martin,Arsenal,142,38,direct_match,GK
Kepa Arrizabalaga Revuelta,Arsenal,4.5,Kepa Arrizabalaga,Bournemouth,106,38,direct_match,GK
Karl Hein,Arsenal,4.0,Karl Hein,Arsenal,0,38,direct_match,GK
Tommy Setford,Arsenal,4.0,Tommy Setford,Arsenal,0,36,direct_match,GK
Gabriel dos Santos Magalhães,Arsenal,6.0,Gabriel dos Santos Magalhães,Arsenal,117,38,direct_match,DEF
William Saliba,Arsenal,6.0,William Saliba,Arsenal,130,38,direct_match,DEF
Riccardo Calafiori,Arsenal,5.5,Riccardo Calafiori,Arsenal,39,38,direct_match,DEF
Jurriën Timber,Arsenal,5.5,Jurriën Timber,Arsenal,114,38,direct_match,DEF
Jakub Kiwior,Arsenal,5.5,Jakub Kiwior,Arsenal,43,38,direct_match,DEF
Myles Lewis-Skelly,Arsenal,5.5,Myles Lewis-Skelly,Arsenal,37,38,direct_match,DEF
Benjamin White,Arsenal,5.5,Benjamin White,Arsenal,50,38,direct_match,DEF
Oleksandr Zinchenko,Arsenal,5.0,Oleksandr Zinchenko,Arsenal,40,38,direct_match,DEF
Brayden Clarke,Arsenal,4.0,Brayden Clarke,Arsenal,0,4,direct_match,DEF
Maldini Kacurri,Arsenal,4.0,Maldini Kacurri,Arsenal,0,35,direct_match,DEF
Josh Nichols,Arsenal,4.0,Josh Nichols,Arsenal,0,33,direct_match,DEF
Bukayo Saka,Arsenal,10.0,Bukayo Saka,Arsenal,127,38,direct_match,MID
Martin Ødegaard,Arsenal,8.0,Martin Ødegaard,Arsenal,116,38,direct_match,MID
Noni Madueke,Arsenal,7.0,Noni Madueke,Chelsea,120,38,direct_match,MID
Gabriel Martinelli Silva,Arsenal,7.0,Gabriel Martinelli Silva,Arsenal,125,38,direct_match,MID
Leandro Trossard,Arsenal,7.0,Leandro Trossard,Arsenal,152,38,direct_match,MID
Declan Rice,Arsenal,6.5,Declan Rice,Arsenal,127,38,direct_match,MID
Mikel Merino Zazón,Arsenal,6.0,Mikel Merino,Arsenal,92,36,direct_match,MID
Fábio Ferreira Vieira,Arsenal,5.5,Fábio Ferreira Vieira,Arsenal,0,38,direct_match,MID
Christian Nørgaard,Arsenal,5.5,Christian Nørgaard,Brentford,107,38,direct_match,MID
Ethan Nwaneri,Arsenal,5.5,Ethan Nwaneri,Arsenal,66,38,direct_match,MID
Martín Zubimendi Ibáñez,Arsenal,5.5,Fábio Ferreira Vieira,Arsenal,0,38,similar_teammate_threshold_0.3,MID
Reiss Nelson,Arsenal,5.0,Reiss Nelson,Fulham,27,38,direct_match,MID
Ismeal Kabia,Arsenal,4.5,Ismeal Kabia,Arsenal,0,35,direct_match,MID
Albert Sambi Lokonga,Arsenal,4.5,Ethan Nwaneri,Arsenal,66,38,similar_teammate_threshold_0.3,MID
Kai Havertz,Arsenal,7.5,Kai Havertz,Arsenal,97,38,direct_match,FWD
Gabriel Fernando de Jesus,Arsenal,6.5,Gabriel Fernando de Jesus,Arsenal,42,38,direct_match,FWD
Cristhian Mosquera,Arsenal,5.5,Yerson Mosquera,Wolves,3,38,direct_match,DEF
Emiliano Martínez Romero,Aston Villa,5.0,Emiliano Martínez Romero,Aston Villa,111,38,direct_match,GK
Marco Bizot,Aston Villa,4.5,Robin Olsen,Aston Villa,9,38,similar_teammate_threshold_0.3,GK
Joe Gauci,Aston Villa,4.0,Joe Gauci,Aston Villa,0,38,direct_match,GK
Filip Marschall,Aston Villa,4.0,Filip Marschall,Aston Villa,0,38,direct_match,GK
Matty Cash,Aston Villa,4.5,Matty Cash,Aston Villa,76,38,direct_match,DEF
Lucas Digne,Aston Villa,4.5,Lucas Digne,Aston Villa,89,38,direct_match,DEF
Ezri Konsa Ngoyo,Aston Villa,4.5,Ezri Konsa Ngoyo,Aston Villa,103,38,direct_match,DEF
Ian Maatsen,Aston Villa,4.5,Ian Maatsen,Aston Villa,57,38,direct_match,DEF
Tyrone Mings,Aston Villa,4.5,Tyrone Mings,Aston Villa,47,38,direct_match,DEF
Pau Torres,Aston Villa,4.5,Pau Torres,Aston Villa,55,38,direct_match,DEF
Andrés García,Aston Villa,4.0,Andrés García,Aston Villa,8,16,direct_match,DEF
Álex Moreno Lopera,Aston Villa,4.0,Álex Moreno Lopera,Nott'm Forest,34,38,direct_match,DEF
Lamare Bogarde,Aston Villa,4.0,Lamare Bogarde,Aston Villa,6,38,direct_match,DEF
Lino da Cruz Sousa,Aston Villa,4.0,Lino da Cruz Sousa,Aston Villa,0,38,direct_match,DEF
Yasin Özcan,Aston Villa,4.0,Pau Torres,Aston Villa,55,38,similar_teammate_threshold_0.3,DEF
Morgan Rogers,Aston Villa,7.0,Morgan Rogers,Aston Villa,161,38,direct_match,MID
Youri Tielemans,Aston Villa,6.0,Youri Tielemans,Aston Villa,121,38,direct_match,MID
