captain,formation,budget,gw1_score,5gw_estimated,GK1,DEF1,DEF2,DEF3,DEF4,DEF5,MID1,MID2,MID3,MID4,MID5,FWD1,FWD2,FWD3,GK2,DEF4.1,DEF5.1,DEF6,DEF7
Mohamed Salah,3-4-3,100.0,68.5,352.4,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Antoñito Cordero Campillo (Newcastle),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),Ashley Barnes (Burnley),Filip Jörgensen (Chelsea),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley),
Mohamed Salah,4-3-3,100.0,68.2,351.1,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Jacob Murphy (Newcastle),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),Jarrod Bowen (West Ham),Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,4-3-3,98.5,68.2,351.1,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Antoñito Cordero Campillo (Newcastle),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),Jarrod Bowen (West Ham),Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,4-3-3,100.0,68.1,350.7,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Alex Iwobi (Fulham),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),Jarrod Bowen (West Ham),Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,4-3-3,99.0,67.9,349.7,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Antoni Milambo (Brentford),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),Jarrod Bowen (West Ham),Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,4-3-3,100.0,67.9,349.7,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Ismaïla Sarr (Crystal Palace),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),Jarrod Bowen (West Ham),Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,4-3-3,100.0,67.6,348.0,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),,Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),Raúl Jiménez Rodríguez (Fulham),Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,5-3-2,99.5,67.6,348.0,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,,Chris Wood (Nott'm Forest),Jarrod Bowen (West Ham),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,99.5,67.6,348.0,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,,Jarrod Bowen (West Ham),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,4-3-3,100.0,67.5,347.3,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Matheus Santos Carneiro da Cunha (Man Utd),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),Raúl Jiménez Rodríguez (Fulham),Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
