captain,formation,budget,gw1_score,5gw_estimated,MID1,MID1_role,MID1_selected,MID1_price,MID1_score,MID1_club,GK1,GK1_role,GK1_selected,GK1_price,GK1_score,GK1_club,DEF1,DEF1_role,DEF1_selected,DEF1_price,DEF1_score,DEF1_club,DEF2,DEF2_role,DEF2_selected,DEF2_price,DEF2_score,DEF2_club,DEF3,DEF3_role,DEF3_selected,DEF3_price,DEF3_score,DEF3_club,MID2,MID2_role,MID2_selected,MID2_price,MID2_score,MID2_club,MID3,MID3_role,MID3_selected,MID3_price,MID3_score,MID3_club,MID4,MID4_role,MID4_selected,MID4_price,MID4_score,MID4_club,FWD1,FWD1_role,FWD1_selected,FWD1_price,FWD1_score,FWD1_club,FWD2,FWD2_role,FWD2_selected,FWD2_price,FWD2_score,FWD2_club,FWD3,FWD3_role,FWD3_selected,FWD3_price,FWD3_score,FWD3_club,BENCH1,BENCH1_role,BENCH1_selected,BENCH1_price,BENCH1_score,BENCH1_club,BENCH2,BENCH2_role,BENCH2_selected,BENCH2_price,BENCH2_score,BENCH2_club,BENCH3,BENCH3_role,BENCH3_selected,BENCH3_price,BENCH3_score,BENCH3_club,BENCH4,BENCH4_role,BENCH4_selected,BENCH4_price,BENCH4_score,BENCH4_club,MID5,MID5_role,MID5_selected,MID5_price,MID5_score,MID5_club,DEF4,DEF4_role,DEF4_selected,DEF4_price,DEF4_score,DEF4_club,DEF5,DEF5_role,DEF5_selected,DEF5_price,DEF5_score,DEF5_club
Chris Wood,4-4-2,99.0,64.8,333.8,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Matz Sels,GK,1,5.0,4.372896186827221,Nott'm Forest,Joško Gvardiol,DEF,1,6.0,4.595793145828361,Man City,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1,4.5,3.7945602577873254,Burnley,,,,,,,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,,Milos Kerkez,DEF,1.0,6.0,3.986724987276056,Liverpool,,,,,,
Chris Wood,4-4-2,99.5,64.2,330.6,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Robert Lynch Sánchez,GK,1,5.0,3.740449834576576,Chelsea,Joško Gvardiol,DEF,1,6.0,4.595793145828361,Man City,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1,4.5,3.7945602577873254,Burnley,,,,,,,Filip Jörgensen,GK,0,4.5,1.2,Chelsea,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,0,4.5,3.802601449985117,Nott'm Forest,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,,,,,,,Milos Kerkez,DEF,1.0,6.0,3.986724987276056,Liverpool,,,,,,
Chris Wood,5-3-2,98.5,63.8,328.5,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Matz Sels,GK,1,5.0,4.372896186827221,Nott'm Forest,Joško Gvardiol,DEF,1,6.0,4.595793145828361,Man City,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,,,,,,,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Liam Delap,FWD,1,6.5,4.234256150366049,Chelsea,,,,,,,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,El Hadji Malick Diouf,DEF,0,4.5,2.6612023364662005,West Ham,,,,,,,Milos Kerkez,DEF,1.0,6.0,3.986724987276056,Liverpool,Rayan Aït-Nouri,DEF,1.0,6.0,3.894201566880992,Man City
Chris Wood,4-4-2,99.0,63.5,326.8,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Bernd Leno,GK,1,5.0,3.0016872644977908,Fulham,Joško Gvardiol,DEF,1,6.0,4.595793145828361,Man City,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1,4.5,3.7945602577873254,Burnley,,,,,,,Benjamin Lecomte,GK,0,4.0,0.25,Fulham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,0,4.5,3.802601449985117,Nott'm Forest,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,,,,,,,Milos Kerkez,DEF,1.0,6.0,3.986724987276056,Liverpool,,,,,,
Chris Wood,4-4-2,99.0,63.4,326.4,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Dean Henderson,GK,1,5.0,2.919720691739214,Crystal Palace,Joško Gvardiol,DEF,1,6.0,4.595793145828361,Man City,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1,4.5,3.7945602577873254,Burnley,,,,,,,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,0,4.5,3.802601449985117,Nott'm Forest,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,,,,,,,Milos Kerkez,DEF,1.0,6.0,3.986724987276056,Liverpool,,,,,,
Chris Wood,4-4-2,99.0,63.4,326.4,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Nick Pope,GK,1,5.0,2.9349460061919506,Newcastle,Joško Gvardiol,DEF,1,6.0,4.595793145828361,Man City,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1,4.5,3.7945602577873254,Burnley,,,,,,,Mark Gillespie,GK,0,4.0,0.7274540557275542,Newcastle,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,0,4.5,3.802601449985117,Nott'm Forest,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,,,,,,,Milos Kerkez,DEF,1.0,6.0,3.986724987276056,Liverpool,,,,,,
Chris Wood,5-3-2,99.5,63.3,326.1,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,David Raya Martín,GK,1,5.5,3.909932400075558,Arsenal,Joško Gvardiol,DEF,1,6.0,4.595793145828361,Man City,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,,,,,,,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Liam Delap,FWD,1,6.5,4.234256150366049,Chelsea,,,,,,,Kepa Arrizabalaga Revuelta,GK,0,4.5,1.1965152758196969,Arsenal,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,0,4.5,3.802601449985117,Nott'm Forest,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,,,,,,,Milos Kerkez,DEF,1.0,6.0,3.986724987276056,Liverpool,Rayan Aït-Nouri,DEF,1.0,6.0,3.894201566880992,Man City
Chris Wood,4-4-2,99.0,63.2,325.6,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,André Onana,GK,1,5.0,2.7757560209770737,Man Utd,Joško Gvardiol,DEF,1,6.0,4.595793145828361,Man City,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Ashley Barnes,FWD,1,4.5,3.7945602577873254,Burnley,,,,,,,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,0,4.5,3.802601449985117,Nott'm Forest,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,,,,,,,Milos Kerkez,DEF,1.0,6.0,3.986724987276056,Liverpool,,,,,,
Chris Wood,5-3-2,99.0,63.2,325.4,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Jordan Pickford,GK,1,5.5,3.764362552535184,Everton,Joško Gvardiol,DEF,1,6.0,4.595793145828361,Man City,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,,,,,,,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Liam Delap,FWD,1,6.5,4.234256150366049,Chelsea,,,,,,,Harry Tyrer,GK,0,4.0,0.25,Everton,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,0,4.5,3.802601449985117,Nott'm Forest,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,,,,,,,Milos Kerkez,DEF,1.0,6.0,3.986724987276056,Liverpool,Rayan Aït-Nouri,DEF,1.0,6.0,3.894201566880992,Man City
Chris Wood,5-3-2,98.5,63.2,325.2,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Robert Lynch Sánchez,GK,1,5.0,3.740449834576576,Chelsea,Joško Gvardiol,DEF,1,6.0,4.595793145828361,Man City,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,,,,,,,Chris Wood,FWD,1,7.5,6.165001449985117,Nott'm Forest,Liam Delap,FWD,1,6.5,4.234256150366049,Chelsea,,,,,,,Krisztián Hegyi,GK,0,4.0,0.7326148524436265,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,David Mota Veiga Teixeira do Carmo,DEF,0,4.5,3.802601449985117,Nott'm Forest,Adam Aznou,DEF,0,4.5,2.7644130788509735,Everton,,,,,,,Milos Kerkez,DEF,1.0,6.0,3.986724987276056,Liverpool,Rayan Aït-Nouri,DEF,1.0,6.0,3.894201566880992,Man City
