GK1,GK1_selected,GK1_price,GK1_score,GK2,GK2_selected,GK2_price,GK2_score,DEF1,DEF1_selected,DEF1_price,DEF1_score,DEF2,DEF2_selected,DEF2_price,DEF2_score,DEF3,DEF3_selected,DEF3_price,DEF3_score,DEF4,DEF4_selected,DEF4_price,DEF4_score,DEF5,DEF5_selected,DEF5_price,DEF5_score,MID1,MID1_selected,MID1_price,MID1_score,MID2,MID2_selected,MID2_price,MID2_score,MID3,MID3_selected,MID3_price,MID3_score,MID4,MID4_selected,MID4_price,MID4_score,MID5,MID5_selected,MID5_price,MID5_score,FWD1,FWD1_selected,FWD1_price,FWD1_score,FWD2,FWD2_selected,FWD2_price,FWD2_score,FWD3,FWD3_selected,FWD3_price,FWD3_score,11_selected_total_scores,15_total_price
Jordan Pickford (Everton),1,5.2,4.157894736842105,João Neves Virgínia (Everton),0,3.8,0.0,Joško Gvardiol (Man City),1,6.5,4.026315789473684,Trent Alexander-Arnold (Liverpool),1,7.2,3.8947368421052633,Nikola Milenković (Nott'm Forest),1,5.2,3.8157894736842106,Virgil van Dijk (Liverpool),1,6.7,3.763157894736842,Ben Johnson (Sunderland),0,3.8,0.7894736842105262,Mohamed Salah (Liverpool),1,13.6,9.052631578947368,Bryan Mbeumo (Man Utd),1,8.3,6.2105263157894735,Cole Palmer (Chelsea),1,10.5,5.631578947368421,Jarrod Bowen (West Ham),1,7.9,5.078947368421052,Eric da Silva Moreira (Nott'm Forest),0,4.3,0.0526315789473684,Liam Delap (Chelsea),1,5.6,3.4736842105263164,Francisco Evanilson de Lima Barbosa (Bournemouth),1,5.9,3.4594594594594597,Daniel Jebbison (Bournemouth),0,4.5,0.5263157894736842,52.56,99.0
Robert Sánchez (Chelsea),1,4.5,3.3157894736842106,Alfie Whiteman (Spurs),0,3.9,0.0,Nikola Milenković (Nott'm Forest),1,5.2,3.8157894736842106,Virgil van Dijk (Liverpool),1,6.7,3.763157894736842,Daniel Muñoz (Crystal Palace),1,5.2,3.736842105263158,Milos Kerkez (Liverpool),1,5.3,3.5263157894736836,Yerson Mosquera (Arsenal),0,3.8,0.0789473684210526,Jarrod Bowen (West Ham),1,7.9,5.078947368421052,Luis Díaz (Liverpool),1,7.5,4.815789473684211,Bruno Borges Fernandes (Man Utd),1,8.4,4.578947368421052,Cameron Peupion (Brighton),0,4.4,0.0,Cesare Casadei (Chelsea),0,4.4,0.0,Ollie Watkins (Aston Villa),1,9.2,4.894736842105263,Yoane Wissa (Brentford),1,6.9,4.868421052631579,Erling Haaland (Man City),1,14.9,4.7631578947368425,47.16,98.2
Dean Henderson (Brentford),1,4.6,3.5526315789473686,Daniel Bentley (Wolves),0,3.9,0.2368421052631578,Marc Guéhi (Crystal Palace),1,4.7,3.0526315789473686,Dan Burn (Newcastle),1,4.6,3.0263157894736836,Jurriën Timber (Arsenal),1,5.5,3.0,Jarell Quansah (Liverpool),0,3.9,0.2368421052631578,Julio Soler (Bournemouth),0,3.9,0.1666666666666666,Cole Palmer (Chelsea),1,10.5,5.631578947368421,Jarrod Bowen (West Ham),1,7.9,5.078947368421052,Luis Díaz (Liverpool),1,7.5,4.815789473684211,Bruno Borges Fernandes (Man Utd),1,8.4,4.578947368421052,Ibrahim Sangaré (Nott'm Forest),0,4.3,0.5263157894736842,Yoane Wissa (Brentford),1,6.9,4.868421052631579,Erling Haaland (Man City),1,14.9,4.7631578947368425,Matheus Santos Carneiro Da Cunha (Man Utd),1,7.0,4.684210526315789,47.05,98.5
David Raya Martin (Arsenal),1,5.6,3.736842105263158,Caoimhin Kelleher (Liverpool),0,3.9,1.1842105263157894,Ola Aina (Nott'm Forest),1,5.3,3.3684210526315788,Nathan Collins (Brentford),1,4.6,3.342105263157895,Rayan Aït-Nouri (Man City),1,5.1,3.289473684210526,Maxence Lacroix (Crystal Palace),1,4.5,3.2571428571428576,Tyrick Mitchell (Crystal Palace),1,4.8,3.236842105263158,Bryan Mbeumo (Man Utd),1,8.3,6.2105263157894735,Cole Palmer (Chelsea),1,10.5,5.631578947368421,Jarrod Bowen (West Ham),1,7.9,5.078947368421052,Tyler Dibling (Sunderland),0,4.3,1.7894736842105263,Yehor Yarmoliuk (Brentford),0,4.3,1.131578947368421,Erling Haaland (Man City),1,14.9,4.7631578947368425,Matheus Santos Carneiro Da Cunha (Man Utd),1,7.0,4.684210526315789,Dane Scarlett (Spurs),0,4.4,0.1578947368421052,46.6,95.4
Alisson Ramses Becker (Liverpool),1,5.5,2.9473684210526314,Daniel Bentley (Wolves),0,3.9,0.2368421052631578,Marc Guéhi (Crystal Palace),1,4.7,3.0526315789473686,Dan Burn (Newcastle),1,4.6,3.0263157894736836,Jurriën Timber (Arsenal),1,5.5,3.0,Jarell Quansah (Liverpool),0,3.9,0.2368421052631578,Julio Soler (Bournemouth),0,3.9,0.1666666666666666,Cole Palmer (Chelsea),1,10.5,5.631578947368421,Jarrod Bowen (West Ham),1,7.9,5.078947368421052,Luis Díaz (Liverpool),1,7.5,4.815789473684211,Bruno Borges Fernandes (Man Utd),1,8.4,4.578947368421052,Yehor Yarmoliuk (Brentford),0,4.3,1.131578947368421,Yoane Wissa (Brentford),1,6.9,4.868421052631579,Erling Haaland (Man City),1,14.9,4.7631578947368425,Matheus Santos Carneiro Da Cunha (Man Utd),1,7.0,4.684210526315789,46.45,99.4
Bernd Leno (Fulham),1,5.0,3.0263157894736836,Carl Rushworth (Brighton),0,3.9,0.0,Rayan Aït-Nouri (Man City),1,5.1,3.289473684210526,Maxence Lacroix (Crystal Palace),1,4.5,3.2571428571428576,Tyrick Mitchell (Crystal Palace),1,4.8,3.236842105263158,Bastien Meupiyou (Wolves),0,3.9,0.0,James Hill (Bournemouth),0,3.9,0.4473684210526316,Luis Díaz (Liverpool),1,7.5,4.815789473684211,Bruno Borges Fernandes (Man Utd),1,8.4,4.578947368421052,Antoine Semenyo (Bournemouth),1,5.7,4.342105263157895,Morgan Rogers (Aston Villa),1,5.8,4.2368421052631575,Jacob Murphy (Newcastle),1,5.2,4.184210526315789,Chris Wood (Nott'm Forest),1,7.2,5.2631578947368425,Ollie Watkins (Aston Villa),1,9.2,4.894736842105263,Dane Scarlett (Spurs),0,4.4,0.1578947368421052,45.13,84.5
Mark Flekken (Brentford),1,4.5,3.631578947368421,Carl Rushworth (Brighton),0,3.9,0.0,Marc Cucurella Saseta (Chelsea),1,5.4,3.5,Murillo Santiago Costa dos Santos (Nott'm Forest),1,4.7,3.4210526315789473,William Saliba (Arsenal),1,6.4,3.4210526315789473,Bastien Meupiyou (Wolves),0,3.9,0.0,James Hill (Bournemouth),0,3.9,0.4473684210526316,Justin Kluivert (Bournemouth),1,5.9,4.157894736842105,Alex Iwobi (Fulham),1,5.4,4.105263157894737,Morgan Gibbs-White (Nott'm Forest),1,6.5,4.052631578947368,Anthony Elanga (Newcastle),1,5.5,4.026315789473684,Leandro Trossard (Arsenal),1,6.7,4.0,Chris Wood (Nott'm Forest),1,7.2,5.2631578947368425,Ollie Watkins (Aston Villa),1,9.2,4.894736842105263,Chido Obi-Martin (Man Utd),0,4.5,0.5,44.47,83.6
David Raya Martin (Arsenal),1,5.6,3.736842105263158,Caoimhin Kelleher (Liverpool),0,3.9,1.1842105263157894,Ola Aina (Nott'm Forest),1,5.3,3.3684210526315788,Nathan Collins (Brentford),1,4.6,3.342105263157895,Rayan Aït-Nouri (Man City),1,5.1,3.289473684210526,Maxence Lacroix (Crystal Palace),1,4.5,3.2571428571428576,Tyrick Mitchell (Crystal Palace),1,4.8,3.236842105263158,Bryan Mbeumo (Man Utd),1,8.3,6.2105263157894735,Cole Palmer (Chelsea),1,10.5,5.631578947368421,Jarrod Bowen (West Ham),1,7.9,5.078947368421052,Tyler Dibling (Sunderland),0,4.3,1.7894736842105263,Yehor Yarmoliuk (Brentford),0,4.3,1.131578947368421,Jørgen Strand Larsen (Wolves),1,5.2,3.8157894736842106,Liam Delap (Chelsea),1,5.6,3.4736842105263164,Daniel Jebbison (Bournemouth),0,4.5,0.5263157894736842,44.44,84.4
Robert Sánchez (Chelsea),1,4.5,3.3157894736842106,Alfie Whiteman (Spurs),0,3.9,0.0,Nikola Milenković (Nott'm Forest),1,5.2,3.8157894736842106,Virgil van Dijk (Liverpool),1,6.7,3.763157894736842,Daniel Muñoz (Crystal Palace),1,5.2,3.736842105263158,Milos Kerkez (Liverpool),1,5.3,3.5263157894736836,Yerson Mosquera (Arsenal),0,3.8,0.0789473684210526,Jarrod Bowen (West Ham),1,7.9,5.078947368421052,Luis Díaz (Liverpool),1,7.5,4.815789473684211,Bruno Borges Fernandes (Man Utd),1,8.4,4.578947368421052,Cameron Peupion (Brighton),0,4.4,0.0,Cesare Casadei (Chelsea),0,4.4,0.0,Jean-Philippe Mateta (Crystal Palace),1,7.5,3.9473684210526314,Raúl Jiménez (Fulham),1,5.3,3.868421052631579,Jørgen Strand Larsen (Wolves),1,5.2,3.8157894736842106,44.26,85.2
Mark Flekken (Brentford),1,4.5,3.631578947368421,Carl Rushworth (Brighton),0,3.9,0.0,Rayan Aït-Nouri (Man City),1,5.1,3.289473684210526,Maxence Lacroix (Crystal Palace),1,4.5,3.2571428571428576,Tyrick Mitchell (Crystal Palace),1,4.8,3.236842105263158,Bastien Meupiyou (Wolves),0,3.9,0.0,James Hill (Bournemouth),0,3.9,0.4473684210526316,Luis Díaz (Liverpool),1,7.5,4.815789473684211,Bruno Borges Fernandes (Man Utd),1,8.4,4.578947368421052,Antoine Semenyo (Bournemouth),1,5.7,4.342105263157895,Morgan Rogers (Aston Villa),1,5.8,4.2368421052631575,Jacob Murphy (Newcastle),1,5.2,4.184210526315789,Omar Marmoush (Man City),1,7.4,4.5625,Jean-Philippe Mateta (Crystal Palace),1,7.5,3.9473684210526314,Chido Obi-Martin (Man Utd),0,4.5,0.5,44.08,82.6
Jordan Pickford (Everton),1,5.2,4.157894736842105,João Neves Virgínia (Everton),0,3.8,0.0,Jurriën Timber (Arsenal),1,5.5,3.0,Trevoh Chalobah (Chelsea),1,4.4,3.0,Levi Colwill (Chelsea),1,4.4,2.8684210526315788,Neco Williams (Nott'm Forest),1,4.5,2.8684210526315788,Ben Johnson (Sunderland),0,3.8,0.7894736842105262,Bruno Borges Fernandes (Man Utd),1,8.4,4.578947368421052,Antoine Semenyo (Bournemouth),1,5.7,4.342105263157895,Morgan Rogers (Aston Villa),1,5.8,4.2368421052631575,Jacob Murphy (Newcastle),1,5.2,4.184210526315789,Eric da Silva Moreira (Nott'm Forest),0,4.3,0.0526315789473684,Alexander Isak (Newcastle),1,9.4,5.552631578947367,Chris Wood (Nott'm Forest),1,7.2,5.2631578947368425,Dane Scarlett (Spurs),0,4.4,0.1578947368421052,44.05,82.0
Bernd Leno (Fulham),1,5.0,3.0263157894736836,Carl Rushworth (Brighton),0,3.9,0.0,Trent Alexander-Arnold (Liverpool),1,7.2,3.8947368421052633,Nikola Milenković (Nott'm Forest),1,5.2,3.8157894736842106,Virgil van Dijk (Liverpool),1,6.7,3.763157894736842,Bastien Meupiyou (Wolves),0,3.9,0.0,James Hill (Bournemouth),0,3.9,0.4473684210526316,Ismaïla Sarr (Crystal Palace),1,5.5,3.9210526315789473,Kevin Schade (Brentford),1,5.3,3.9210526315789473,Eberechi Eze (Crystal Palace),1,7.0,3.8947368421052633,Mitoma Kaoru (Brighton),1,6.3,3.8157894736842106,Dominik Szoboszlai (Liverpool),1,6.1,3.763157894736842,Chris Wood (Nott'm Forest),1,7.2,5.2631578947368425,Ollie Watkins (Aston Villa),1,9.2,4.894736842105263,Daniel Jebbison (Bournemouth),0,4.5,0.5263157894736842,43.97,86.9
Dean Henderson (Brentford),1,4.6,3.5526315789473686,Daniel Bentley (Wolves),0,3.9,0.2368421052631578,Marc Guéhi (Crystal Palace),1,4.7,3.0526315789473686,Dan Burn (Newcastle),1,4.6,3.0263157894736836,Jurriën Timber (Arsenal),1,5.5,3.0,Jarell Quansah (Liverpool),0,3.9,0.2368421052631578,Julio Soler (Bournemouth),0,3.9,0.1666666666666666,Cole Palmer (Chelsea),1,10.5,5.631578947368421,Jarrod Bowen (West Ham),1,7.9,5.078947368421052,Luis Díaz (Liverpool),1,7.5,4.815789473684211,Bruno Borges Fernandes (Man Utd),1,8.4,4.578947368421052,Ibrahim Sangaré (Nott'm Forest),0,4.3,0.5263157894736842,Raúl Jiménez (Fulham),1,5.3,3.868421052631579,Jørgen Strand Larsen (Wolves),1,5.2,3.8157894736842106,Liam Delap (Chelsea),1,5.6,3.4736842105263164,43.89,85.8
David Raya Martin (Arsenal),1,5.6,3.736842105263158,Caoimhin Kelleher (Liverpool),0,3.9,1.1842105263157894,Daniel Muñoz (Crystal Palace),1,5.2,3.736842105263158,Milos Kerkez (Liverpool),1,5.3,3.5263157894736836,Marc Cucurella Saseta (Chelsea),1,5.4,3.5,Murillo Santiago Costa dos Santos (Nott'm Forest),1,4.7,3.4210526315789473,William Saliba (Arsenal),1,6.4,3.4210526315789473,Antoine Semenyo (Bournemouth),1,5.7,4.342105263157895,Morgan Rogers (Aston Villa),1,5.8,4.2368421052631575,Jacob Murphy (Newcastle),1,5.2,4.184210526315789,Tyler Dibling (Sunderland),0,4.3,1.7894736842105263,Yehor Yarmoliuk (Brentford),0,4.3,1.131578947368421,Erling Haaland (Man City),1,14.9,4.7631578947368425,Matheus Santos Carneiro Da Cunha (Man Utd),1,7.0,4.684210526315789,Daniel Jebbison (Bournemouth),0,4.5,0.5263157894736842,43.55,88.2
Jordan Pickford (Everton),1,5.2,4.157894736842105,João Neves Virgínia (Everton),0,3.8,0.0,Nathan Collins (Brentford),1,4.6,3.342105263157895,Rayan Aït-Nouri (Man City),1,5.1,3.289473684210526,Maxence Lacroix (Crystal Palace),1,4.5,3.2571428571428576,Tyrick Mitchell (Crystal Palace),1,4.8,3.236842105263158,Ben Johnson (Sunderland),0,3.8,0.7894736842105262,Kevin Schade (Brentford),1,5.3,3.9210526315789473,Eberechi Eze (Crystal Palace),1,7.0,3.8947368421052633,Mitoma Kaoru (Brighton),1,6.3,3.8157894736842106,Dominik Szoboszlai (Liverpool),1,6.1,3.763157894736842,Eric da Silva Moreira (Nott'm Forest),0,4.3,0.0526315789473684,Alexander Isak (Newcastle),1,9.4,5.552631578947367,Chris Wood (Nott'm Forest),1,7.2,5.2631578947368425,Daniel Jebbison (Bournemouth),0,4.5,0.5263157894736842,43.49,81.9
Bernd Leno (Fulham),1,5.0,3.0263157894736836,Carl Rushworth (Brighton),0,3.9,0.0,Rayan Aït-Nouri (Man City),1,5.1,3.289473684210526,Maxence Lacroix (Crystal Palace),1,4.5,3.2571428571428576,Tyrick Mitchell (Crystal Palace),1,4.8,3.236842105263158,Bastien Meupiyou (Wolves),0,3.9,0.0,James Hill (Bournemouth),0,3.9,0.4473684210526316,Luis Díaz (Liverpool),1,7.5,4.815789473684211,Bruno Borges Fernandes (Man Utd),1,8.4,4.578947368421052,Antoine Semenyo (Bournemouth),1,5.7,4.342105263157895,Morgan Rogers (Aston Villa),1,5.8,4.2368421052631575,Jacob Murphy (Newcastle),1,5.2,4.184210526315789,Omar Marmoush (Man City),1,7.4,4.5625,Jean-Philippe Mateta (Crystal Palace),1,7.5,3.9473684210526314,Daniel Jebbison (Bournemouth),0,4.5,0.5263157894736842,43.48,83.1
Alisson Ramses Becker (Liverpool),1,5.5,2.9473684210526314,Daniel Bentley (Wolves),0,3.9,0.2368421052631578,Tyrick Mitchell (Crystal Palace),1,4.8,3.236842105263158,Vitalii Mykolenko (Everton),1,4.4,3.1842105263157894,Aaron Wan-Bissaka (West Ham),1,4.5,3.1052631578947367,Jarell Quansah (Liverpool),0,3.9,0.2368421052631578,Julio Soler (Bournemouth),0,3.9,0.1666666666666666,Morgan Rogers (Aston Villa),1,5.8,4.2368421052631575,Jacob Murphy (Newcastle),1,5.2,4.184210526315789,Justin Kluivert (Bournemouth),1,5.9,4.157894736842105,Alex Iwobi (Fulham),1,5.4,4.105263157894737,Yehor Yarmoliuk (Brentford),0,4.3,1.131578947368421,Yoane Wissa (Brentford),1,6.9,4.868421052631579,Erling Haaland (Man City),1,14.9,4.7631578947368425,Matheus Santos Carneiro Da Cunha (Man Utd),1,7.0,4.684210526315789,43.47,86.3
André Onana (Man Utd),1,4.9,3.157894736842105,Caoimhin Kelleher (Liverpool),0,3.9,1.1842105263157894,Ola Aina (Nott'm Forest),1,5.3,3.3684210526315788,Nathan Collins (Brentford),1,4.6,3.342105263157895,Rayan Aït-Nouri (Man City),1,5.1,3.289473684210526,Maxence Lacroix (Crystal Palace),1,4.5,3.2571428571428576,Tyrick Mitchell (Crystal Palace),1,4.8,3.236842105263158,Bryan Mbeumo (Man Utd),1,8.3,6.2105263157894735,Cole Palmer (Chelsea),1,10.5,5.631578947368421,Jarrod Bowen (West Ham),1,7.9,5.078947368421052,Ethan Nwaneri (Arsenal),0,4.3,1.7368421052631582,Ibrahim Sangaré (Nott'm Forest),0,4.3,0.5263157894736842,João Pedro Junqueira de Jesus (Brighton),1,5.5,3.3157894736842106,Danny Welbeck (Brighton),1,5.5,3.289473684210526,Ethan Wheatley (Man Utd),0,4.5,0.0,43.18,83.9
Jordan Pickford (Everton),1,5.2,4.157894736842105,João Neves Virgínia (Everton),0,3.8,0.0,Milos Kerkez (Liverpool),1,5.3,3.5263157894736836,Marc Cucurella Saseta (Chelsea),1,5.4,3.5,Murillo Santiago Costa dos Santos (Nott'm Forest),1,4.7,3.4210526315789473,William Saliba (Arsenal),1,6.4,3.4210526315789473,Ben Johnson (Sunderland),0,3.8,0.7894736842105262,Marshall Munetsi (Wolves),1,5.0,3.5714285714285716,Bruno Guimarães Rodriguez Moura (Newcastle),1,6.2,3.5526315789473686,Enzo Fernández (Chelsea),1,4.7,3.5526315789473686,James Maddison (Spurs),1,7.4,3.5,Eric da Silva Moreira (Nott'm Forest),0,4.3,0.0526315789473684,Alexander Isak (Newcastle),1,9.4,5.552631578947367,Chris Wood (Nott'm Forest),1,7.2,5.2631578947368425,Daniel Jebbison (Bournemouth),0,4.5,0.5263157894736842,43.02,83.3
