captain,formation,budget,gw1_score,5gw_estimated,GK1,GK1_role,GK1_selected,GK1_price,GK1_score,GK1_club,MID1,MID1_role,MID1_selected,MID1_price,MID1_score,MID1_club,DEF1,DEF1_role,DEF1_selected,DEF1_price,DEF1_score,DEF1_club,DEF2,DEF2_role,DEF2_selected,DEF2_price,DEF2_score,DEF2_club,DEF3,DEF3_role,DEF3_selected,DEF3_price,DEF3_score,DEF3_club,DEF4,DEF4_role,DEF4_selected,DEF4_price,DEF4_score,DEF4_club,DEF5,DEF5_role,DEF5_selected,DEF5_price,DEF5_score,DEF5_club,MID2,MID2_role,MID2_selected,MID2_price,MID2_score,MID2_club,MID3,MID3_role,MID3_selected,MID3_price,MID3_score,MID3_club,FWD1,FWD1_role,FWD1_selected,FWD1_price,FWD1_score,FWD1_club,FWD2,FWD2_role,FWD2_selected,FWD2_price,FWD2_score,FWD2_club,BENCH1,BENCH1_role,BENCH1_selected,BENCH1_price,BENCH1_score,BENCH1_club,BENCH2,BENCH2_role,BENCH2_selected,BENCH2_price,BENCH2_score,BENCH2_club,BENCH3,BENCH3_role,BENCH3_selected,BENCH3_price,BENCH3_score,BENCH3_club,BENCH4,BENCH4_role,BENCH4_selected,BENCH4_price,BENCH4_score,BENCH4_club,total_gk,total_def,total_mid,total_fwd,MID4,MID4_role,MID4_selected,MID4_price,MID4_score,MID4_club,MID5,MID5_role,MID5_selected,MID5_price,MID5_score,MID5_club
Mohamed Salah,4-5-1,100.0,65.8,339.0,David Raya Martín,GK,1,5.5,3.909932400075558,Arsenal,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Rayan Aït-Nouri,DEF,1,6.0,3.894201566880992,Man City,Marc Cucurella Saseta,DEF,1,6.0,3.857755097734471,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,,,,,,,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Joël Piroe,FWD,1,5.5,3.9765258685174474,Leeds,,,,,,,Krisztián Hegyi,GK,0,4.0,1.465229704887253,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Ashley Barnes,FWD,0,4.5,3.7945602577873254,Burnley,Charalampos Kostoulas,FWD,0,5.0,3.4733379986601043,Brighton,2,5,5,3,Florian Wirtz,MID,1.0,8.5,5.494981829381319,Liverpool,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City
Mohamed Salah,4-5-1,100.0,65.7,338.2,Jordan Pickford,GK,1,5.5,3.764362552535184,Everton,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Rayan Aït-Nouri,DEF,1,6.0,3.894201566880992,Man City,Marc Cucurella Saseta,DEF,1,6.0,3.857755097734471,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,,,,,,,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Joël Piroe,FWD,1,5.5,3.9765258685174474,Leeds,,,,,,,Harry Tyrer,GK,0,4.0,0.5,Everton,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Ashley Barnes,FWD,0,4.5,3.7945602577873254,Burnley,Charalampos Kostoulas,FWD,0,5.0,3.4733379986601043,Brighton,2,5,5,3,Florian Wirtz,MID,1.0,8.5,5.494981829381319,Liverpool,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City
Mohamed Salah,4-5-1,100.0,65.6,337.9,Matz Sels,GK,1,5.0,4.372896186827221,Nott'm Forest,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,Fabian Schär,DEF,1,5.5,3.2888281114551083,Newcastle,,,,,,,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Liam Delap,FWD,1,6.5,4.234256150366049,Chelsea,,,,,,,Krisztián Hegyi,GK,0,4.0,1.465229704887253,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Ashley Barnes,FWD,0,4.5,3.7945602577873254,Burnley,Charalampos Kostoulas,FWD,0,5.0,3.4733379986601043,Brighton,2,5,5,3,Florian Wirtz,MID,1.0,8.5,5.494981829381319,Liverpool,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City
Mohamed Salah,4-5-1,100.0,65.5,337.3,Ederson Santana de Moraes,GK,1,5.5,3.594582619512572,Man City,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Rayan Aït-Nouri,DEF,1,6.0,3.894201566880992,Man City,Marc Cucurella Saseta,DEF,1,6.0,3.857755097734471,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,,,,,,,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Joël Piroe,FWD,1,5.5,3.9765258685174474,Leeds,,,,,,,Krisztián Hegyi,GK,0,4.0,1.465229704887253,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Ashley Barnes,FWD,0,4.5,3.7945602577873254,Burnley,Charalampos Kostoulas,FWD,0,5.0,3.4733379986601043,Brighton,2,5,5,3,Florian Wirtz,MID,1.0,8.5,5.494981829381319,Liverpool,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City
Mohamed Salah,4-5-1,100.0,65.5,337.1,David Raya Martín,GK,1,5.5,3.909932400075558,Arsenal,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Marc Cucurella Saseta,DEF,1,6.0,3.857755097734471,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,,,,,,,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Joël Piroe,FWD,1,5.5,3.9765258685174474,Leeds,,,,,,,Krisztián Hegyi,GK,0,4.0,1.465229704887253,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Ashley Barnes,FWD,0,4.5,3.7945602577873254,Burnley,Charalampos Kostoulas,FWD,0,5.0,3.4733379986601043,Brighton,2,5,5,3,Florian Wirtz,MID,1.0,8.5,5.494981829381319,Liverpool,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City
Mohamed Salah,4-5-1,100.0,65.4,336.8,Alisson Becker,GK,1,5.5,3.4871123556971084,Liverpool,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Rayan Aït-Nouri,DEF,1,6.0,3.894201566880992,Man City,Marc Cucurella Saseta,DEF,1,6.0,3.857755097734471,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,,,,,,,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Joël Piroe,FWD,1,5.5,3.9765258685174474,Leeds,,,,,,,Krisztián Hegyi,GK,0,4.0,1.465229704887253,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Ashley Barnes,FWD,0,4.5,3.7945602577873254,Burnley,Charalampos Kostoulas,FWD,0,5.0,3.4733379986601043,Brighton,2,5,5,3,Florian Wirtz,MID,1.0,8.5,5.494981829381319,Liverpool,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City
Mohamed Salah,4-5-1,100.0,65.3,336.4,Jordan Pickford,GK,1,5.5,3.764362552535184,Everton,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Marc Cucurella Saseta,DEF,1,6.0,3.857755097734471,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,,,,,,,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Joël Piroe,FWD,1,5.5,3.9765258685174474,Leeds,,,,,,,Harry Tyrer,GK,0,4.0,0.5,Everton,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Ashley Barnes,FWD,0,4.5,3.7945602577873254,Burnley,Charalampos Kostoulas,FWD,0,5.0,3.4733379986601043,Brighton,2,5,5,3,Florian Wirtz,MID,1.0,8.5,5.494981829381319,Liverpool,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City
Mohamed Salah,4-5-1,100.0,65.3,336.2,Bart Verbruggen,GK,1,4.5,2.561213788133789,Brighton,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Joško Gvardiol,DEF,1,6.0,4.595793145828361,Man City,Virgil van Dijk,DEF,1,6.0,4.2122365662234245,Liverpool,Nikola Milenković,DEF,1,5.5,4.178454081564064,Nott'm Forest,Milos Kerkez,DEF,1,6.0,3.986724987276056,Liverpool,,,,,,,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Joël Piroe,FWD,1,5.5,3.9765258685174474,Leeds,,,,,,,Kjell Scherpen,GK,0,4.0,0.5,Brighton,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Ashley Barnes,FWD,0,4.5,3.7945602577873254,Burnley,Charalampos Kostoulas,FWD,0,5.0,3.4733379986601043,Brighton,2,5,5,3,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City,Morgan Gibbs-White,MID,1.0,7.5,4.639990923669327,Nott'm Forest
Mohamed Salah,4-5-1,100.0,65.2,335.5,Ederson Santana de Moraes,GK,1,5.5,3.594582619512572,Man City,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Marc Cucurella Saseta,DEF,1,6.0,3.857755097734471,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,,,,,,,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Joël Piroe,FWD,1,5.5,3.9765258685174474,Leeds,,,,,,,Krisztián Hegyi,GK,0,4.0,1.465229704887253,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Ashley Barnes,FWD,0,4.5,3.7945602577873254,Burnley,Charalampos Kostoulas,FWD,0,5.0,3.4733379986601043,Brighton,2,5,5,3,Florian Wirtz,MID,1.0,8.5,5.494981829381319,Liverpool,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City
Mohamed Salah,4-5-1,100.0,65.0,335.0,Alisson Becker,GK,1,5.5,3.4871123556971084,Liverpool,Mohamed Salah,MID,1,14.5,9.775887092539216,Liverpool,Marc Cucurella Saseta,DEF,1,6.0,3.857755097734471,Chelsea,David Mota Veiga Teixeira do Carmo,DEF,1,4.5,3.802601449985117,Nott'm Forest,Ola Aina,DEF,1,5.0,3.75248776577459,Nott'm Forest,William Saliba,DEF,1,6.0,3.54378082112819,Arsenal,,,,,,,Cole Palmer,MID,1,10.5,6.215342466155524,Chelsea,Bryan Mbeumo,MID,1,8.0,5.988724442029706,Man Utd,Joël Piroe,FWD,1,5.5,3.9765258685174474,Leeds,,,,,,,Krisztián Hegyi,GK,0,4.0,1.465229704887253,West Ham,Joe Anderson,DEF,0,4.0,2.9765871372180106,Sunderland,Ashley Barnes,FWD,0,4.5,3.7945602577873254,Burnley,Charalampos Kostoulas,FWD,0,5.0,3.4733379986601043,Brighton,2,5,5,3,Florian Wirtz,MID,1.0,8.5,5.494981829381319,Liverpool,Omar Marmoush,MID,1.0,8.5,5.372046303723097,Man City
