team,gameweek,transfers,transfer_cost,score,captain,formation
1,GW40,1,0,69.71215410062423,Mohamed Salah,5-5-1
1,GW41,1,0,71.7859068160501,Mohamed Salah,4-5-2
1,GW42,2,4,75.51942096504575,Mohamed Salah,4-5-2
1,GW43,1,0,80.12039405946406,Mohamed Salah,4-5-2
2,GW40,1,0,67.68679792722745,Mohamed Salah,5-5-1
2,GW41,1,0,71.86645482206808,Mohamed Salah,3-5-3
2,GW42,1,0,78.15136768562436,Mohamed Salah,4-5-2
2,GW43,1,0,76.16373606062042,Mohamed Salah,4-5-2
3,GW40,1,0,68.39473488153479,Mohamed Salah,5-5-1
3,GW41,1,0,71.2348095333952,Mohamed Salah,3-5-3
3,GW42,1,0,75.1751416995046,Mohamed Salah,3-5-3
3,GW43,1,0,73.91864805172992,Mohamed Salah,3-5-2
