team,gameweek,transfers,transfer_cost,score,captain,formation,free_transfers_remaining
1,GW40,1,0,69.71215410062423,Mohamed Salah,5-5-1,1
1,GW41,1,0,71.7859068160501,Mohamed Salah,4-5-2,1
1,GW42,1,0,75.47767715909407,Mohamed Salah,4-5-2,1
1,GW43,1,0,79.07927147648304,Mohamed Salah,4-5-2,1
2,GW40,1,0,66.46890988562453,Mohamed Salah,4-5-1,1
2,GW41,1,0,70.78388883858753,Mohamed Salah,2-5-3,1
2,GW42,1,0,74.83644392883522,Mohamed Salah,3-5-2,1
2,GW43,1,0,75.02881580981044,Mohamed Salah,3-5-2,1
3,GW40,1,0,68.39473488153479,Mohamed Salah,5-5-1,1
3,GW41,1,0,71.2348095333952,Mohamed Salah,3-5-3,1
3,GW42,1,0,74.45679466092497,Mohamed Salah,4-5-1,1
3,GW43,1,0,76.15544671060537,Mohamed Salah,4-5-2,1
